Module	Section	Sample Name	Source
Bismark	alignment	POR-262-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-262-TP2_PE_report.txt
Bismark	alignment	POR-72-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-72-TP3_PE_report.txt
Bismark	alignment	POR-262-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-262-TP1_PE_report.txt
Bismark	alignment	POR-69-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-69-TP3_PE_report.txt
Bismark	alignment	POR-83-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-83-TP3_PE_report.txt
Bismark	alignment	POR-260-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-260-TP4_PE_report.txt
Bismark	alignment	POR-73-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-73-TP2_PE_report.txt
Bismark	alignment	POR-74-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-74-TP3_PE_report.txt
Bismark	alignment	POR-236-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-236-TP2_PE_report.txt
Bismark	alignment	POR-245-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-245-TP1_PE_report.txt
Bismark	alignment	POR-216-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-216-TP3_PE_report.txt
Bismark	alignment	POR-72-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-72-TP1_PE_report.txt
Bismark	alignment	POR-236-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-236-TP1_PE_report.txt
Bismark	alignment	POR-262-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-262-TP4_PE_report.txt
Bismark	alignment	POR-260-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-260-TP2_PE_report.txt
Bismark	alignment	POR-216-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-216-TP1_PE_report.txt
Bismark	alignment	POR-83-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-83-TP2_PE_report.txt
Bismark	alignment	POR-73-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-73-TP1_PE_report.txt
Bismark	alignment	POR-216-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-216-TP2_PE_report.txt
Bismark	alignment	POR-74-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-74-TP1_PE_report.txt
Bismark	alignment	POR-69-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-69-TP4_PE_report.txt
Bismark	alignment	POR-69-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-69-TP1_PE_report.txt
Bismark	alignment	POR-72-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-72-TP2_PE_report.txt
Bismark	alignment	POR-245-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-245-TP4_PE_report.txt
Bismark	alignment	POR-74-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-74-TP2_PE_report.txt
Bismark	alignment	POR-72-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-72-TP4_PE_report.txt
Bismark	alignment	POR-245-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-245-TP3_PE_report.txt
Bismark	alignment	POR-83-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-83-TP4_PE_report.txt
Bismark	alignment	POR-74-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-74-TP4_PE_report.txt
Bismark	alignment	POR-216-TP4_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-216-TP4_PE_report.txt
Bismark	alignment	POR-260-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-260-TP3_PE_report.txt
Bismark	alignment	POR-83-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-83-TP1_PE_report.txt
Bismark	alignment	POR-260-TP1_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-260-TP1_PE_report.txt
Bismark	alignment	POR-245-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-245-TP2_PE_report.txt
Bismark	alignment	POR-69-TP2_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-69-TP2_PE_report.txt
Bismark	alignment	POR-73-TP3_PE_report	/gscratch/srlab/sr320/github/timeseries_molecular/E-Peve/output/04.3-Peve-bismark-array/POR-73-TP3_PE_report.txt
