Sample	Aligned Uniquely	Aligned Ambiguously	Did Not Align	No Genomic Sequence
POR-216-TP1_PE_report	22092659	2980044	9659123	3733
POR-216-TP2_PE_report	31883489	4685031	8649506	4872
POR-216-TP3_PE_report	26091875	3462126	14145464	4290
POR-216-TP4_PE_report	27309228	3545859	10828946	4597
POR-236-TP1_PE_report	14584114	1881506	7970706	2517
POR-236-TP2_PE_report	23523732	3144235	10661593	4001
POR-245-TP1_PE_report	23269317	3081033	16665730	3954
POR-245-TP2_PE_report	20446920	2728085	10938317	3500
POR-245-TP3_PE_report	28412656	3742111	9313653	4858
POR-245-TP4_PE_report	23485863	3003610	11632326	4182
POR-260-TP1_PE_report	24715261	3238573	8505541	4215
POR-260-TP2_PE_report	19516523	2487300	8925968	3286
POR-260-TP3_PE_report	20068421	2562776	10740491	3353
POR-260-TP4_PE_report	25205264	3139030	9753306	4474
POR-262-TP1_PE_report	22258158	2905885	14147861	4033
POR-262-TP2_PE_report	29287942	3726850	14000344	5323
POR-262-TP4_PE_report	29325159	4042782	13996238	4976
POR-69-TP1_PE_report	16043497	2063675	9569430	2651
POR-69-TP2_PE_report	19105267	2482484	8881561	3074
POR-69-TP3_PE_report	30797472	4112067	10003988	4879
POR-69-TP4_PE_report	22633538	2997372	10116776	3787
POR-72-TP1_PE_report	21572360	2900173	10954486	3736
POR-72-TP2_PE_report	23073523	3222828	10222426	3794
POR-72-TP3_PE_report	20665456	2834623	9795552	3452
POR-72-TP4_PE_report	23562536	3288595	13616964	3885
POR-73-TP1_PE_report	24799168	3141643	14761680	4201
POR-73-TP2_PE_report	5100673	813130	43253415	1218
POR-73-TP3_PE_report	22811470	3076416	10303057	3646
POR-74-TP1_PE_report	18795351	2470039	10831356	3250
POR-74-TP2_PE_report	27668691	3636573	12791291	4948
POR-74-TP3_PE_report	17816034	2393337	11017114	3141
POR-74-TP4_PE_report	22826290	3014111	10055094	3853
POR-83-TP1_PE_report	20468173	2622773	7155551	3594
POR-83-TP2_PE_report	25074768	3227272	13545518	4230
POR-83-TP3_PE_report	19369386	2454658	8051274	3500
POR-83-TP4_PE_report	23431091	2974087	8944143	4184
