"miRNA","Gene","Correlation","P_value"
"Cluster_11565","lncRNA_002",0.798697630563314,6.57922089182511e-10
"Cluster_5685","lncRNA_012",0.808329714152708,2.83680456661638e-10
"Cluster_3109","lncRNA_045",0.830559894639089,3.35324187379067e-11
"Cluster_1865","lncRNA_078",0.708838396130283,3.07841331257783e-07
"Cluster_11565","lncRNA_115",0.81411008794012,1.67344195539947e-10
"Cluster_11565","lncRNA_129",0.705617409569369,3.67571206214012e-07
"Cluster_3109","lncRNA_243",0.706000062955442,3.59952720012061e-07
"Cluster_3109","lncRNA_358",0.768727417200379,6.91997876417021e-09
"Cluster_17245","lncRNA_430",0.742470684509365,4.14872600194992e-08
"Cluster_11565","lncRNA_436",0.846922519108477,5.66243402730239e-12
"Cluster_1865","lncRNA_455",0.786547006766032,1.78656691964072e-09
"Cluster_11565","lncRNA_521",0.733723807033981,7.18971905379067e-08
"Cluster_11565","lncRNA_554",0.709716123019532,2.93198822991931e-07
"Cluster_12081","lncRNA_559",0.70600972235454,3.5976230908897e-07
"Cluster_12083","lncRNA_559",0.730736395549359,8.63303694380996e-08
"Cluster_12087","lncRNA_559",0.744321860172462,3.68261374084273e-08
"Cluster_3109","lncRNA_570",0.701231055326176,4.66229214143696e-07
"Cluster_5685","lncRNA_683",0.761134658745926,1.18885012039924e-08
"Cluster_12081","lncRNA_768",0.811656036697894,2.09835955510297e-10
"Cluster_12083","lncRNA_768",0.805007820518664,3.81155337664177e-10
"Cluster_12087","lncRNA_768",0.83175283931948,2.96455290965256e-11
"Cluster_3109","lncRNA_773",0.819226857865466,1.03277878453171e-10
"Cluster_3109","lncRNA_787",0.835560410018103,1.98774200616567e-11
"Cluster_12081","lncRNA_1146",0.772885474141525,5.1005267064023e-09
"Cluster_12083","lncRNA_1146",0.803913494607118,4.19590219539799e-10
"Cluster_12087","lncRNA_1146",0.807946067551281,2.93609272774271e-10
"Cluster_3109","lncRNA_1180",0.840170801392692,1.20830657285505e-11
"Cluster_1865","lncRNA_1318",0.7381868393006,5.44550215339463e-08
"Cluster_12083","lncRNA_1398",0.745968075424882,3.30947433687252e-08
"Cluster_12087","lncRNA_1398",0.75035267510411,2.48000326288014e-08
"Cluster_3109","lncRNA_1412",0.875319485198557,1.48721009645333e-13
"Cluster_11565","lncRNA_1508",0.716799775622272,1.96558246415675e-07
"Cluster_5685","lncRNA_1525",0.713261033229118,2.40377704733087e-07
"Cluster_12083","lncRNA_1674",0.703314962588634,4.16651552312709e-07
"Cluster_1865","lncRNA_1682",0.720346648879935,1.6016498103e-07
"Cluster_1865","lncRNA_1791",0.703440222728515,4.13832802904939e-07
"Cluster_3109","lncRNA_1791",0.772448907678935,5.26811683018956e-09
"Cluster_11565","lncRNA_1892",0.83160220110716,3.01119244357558e-11
"Cluster_3109","lncRNA_2114",0.897367587117109,4.49693103501029e-15
"Cluster_12081","lncRNA_2170",0.754377481297651,1.8930141487917e-08
"Cluster_12083","lncRNA_2170",0.730563048361461,8.72452665887444e-08
"Cluster_12087","lncRNA_2170",0.7078936886281,3.2435537902789e-07
"Cluster_2746","lncRNA_2216",0.735391156680145,6.48499388558814e-08
