FUN_000194-T1	sp|P70182|PI51A_MOUSE	60.579	449	126	6	56	496	43	448	0.0	547
FUN_000213-T1	sp|Q0DXS3|RDR1_ORYSJ	39.276	774	397	20	418	1174	10	727	2.62e-152	482
FUN_000213-T2	sp|Q0DXS3|RDR1_ORYSJ	39.276	774	397	20	418	1174	10	727	2.24e-150	482
FUN_000220-T1	sp|O16025|AOSL_PLEHO	26.095	548	359	13	154	688	551	1065	3.32e-43	167
FUN_000247-T1	sp|Q4DJ07|PGFS_TRYCC	37.634	279	148	7	459	733	8	264	8.33e-43	157
FUN_000247-T2	sp|Q4DJ07|PGFS_TRYCC	37.634	279	148	7	416	690	8	264	6.06e-43	157
FUN_000323-T1	sp|Q9QYF3|MYO5A_RAT	46.953	1887	872	23	1	1817	1	1828	0.0	1624
FUN_000323-T2	sp|Q9QYF3|MYO5A_RAT	47.313	1433	662	17	1	1369	1	1404	0.0	1221
FUN_000323-T3	sp|Q9QYF3|MYO5A_RAT	46.686	1705	780	23	1	1635	1	1646	0.0	1427
FUN_000395-T1	sp|Q9D0S9|HINT2_MOUSE	51.773	141	65	2	33	173	26	163	9.04e-48	152
FUN_000408-T1	sp|Q9NPH0|PPA6_HUMAN	34.239	368	227	7	82	444	48	405	2.36e-66	218
FUN_000418-T1	sp|P08684|CP3A4_HUMAN	31.522	460	259	16	46	484	41	465	5.27e-57	197
FUN_000419-T1	sp|Q0DXS3|RDR1_ORYSJ	39.170	771	396	17	420	1174	14	727	3.22e-148	476
FUN_000440-T1	sp|P11029|ACAC_CHICK	63.109	2258	799	14	18	2268	93	2323	0.0	3017
FUN_000502-T1	sp|Q38997|KIN10_ARATH	40.000	260	146	5	12	269	19	270	4.67e-51	180
FUN_000519-T1	sp|P08684|CP3A4_HUMAN	37.090	488	275	11	31	501	25	497	2.52e-107	328
FUN_000520-T1	sp|P08684|CP3A4_HUMAN	38.223	484	275	11	31	501	25	497	2.20e-110	336
FUN_000606-T1	sp|Q96LT4|SAMD8_HUMAN	53.333	405	173	6	9	400	9	410	2.51e-148	426
FUN_000620-T1	sp|O95427|PIGN_HUMAN	53.165	948	412	9	10	950	6	928	0.0	967
FUN_000628-T1	sp|Q9R1S3|PIGN_MOUSE	67.290	107	35	0	11	117	4	110	3.20e-46	159
FUN_000931-T1	sp|Q6P4M0|DHCR7_XENTR	49.886	437	200	5	70	493	43	473	2.12e-147	429
FUN_000968-T1	sp|Q2QRV3|PIOX_ORYSJ	41.135	423	220	12	10	418	210	617	8.68e-98	304
FUN_000971-T1	sp|Q2QRV3|PIOX_ORYSJ	37.705	549	312	13	169	705	85	615	3.10e-115	359
FUN_000977-T1	sp|P51813|BMX_HUMAN	35.751	386	222	11	483	848	291	670	2.66e-67	236
FUN_001040-T1	sp|Q9Z0M5|LICH_MOUSE	42.969	384	214	3	20	401	14	394	6.54e-107	320
FUN_001053-T1	sp|Q9FLT0|TSN2_ARATH	34.851	1010	478	38	9	887	13	973	6.60e-156	482
FUN_001079-T1	sp|P07314|GGT1_RAT	38.817	541	307	11	78	606	35	563	4.71e-114	352
FUN_001080-T1	sp|P07314|GGT1_RAT	39.439	535	302	10	103	626	40	563	9.44e-116	357
FUN_001081-T1	sp|Q38997|KIN10_ARATH	40.942	276	153	5	2	275	4	271	2.61e-56	195
FUN_001160-T1	sp|P28329|CLAT_HUMAN	29.858	633	384	18	201	810	126	721	1.09e-63	227
FUN_001201-T1	sp|P38571|LICH_HUMAN	43.850	374	207	2	28	400	27	398	1.72e-103	311
FUN_001202-T1	sp|Q9Z0M5|LICH_MOUSE	39.785	372	197	3	31	378	26	394	8.56e-92	280
FUN_001204-T1	sp|P38571|LICH_HUMAN	42.933	375	211	2	27	400	24	396	3.32e-100	303
FUN_001205-T1	sp|Q9Z0M5|LICH_MOUSE	43.935	371	205	2	29	398	26	394	9.03e-105	315
FUN_001211-T1	sp|O45870|NSMA_CAEEL	38.562	306	167	6	16	303	27	329	3.85e-66	217
