File,Total Genes,Annotated,Predominant GO Biological Process,Predominant Gene Function,Physiological Summary
rank_05_comp1.csv,48,10,"defense response to bacterium [GO:0042742], cell division [GO:0051301], axoneme assembly [GO:0035082]","Radial spoke head 1 homolog, Heat shock cognate 71 kDa protein, Caspase-7",Genes involved in metabolic processes and development and differentiation
rank_05_comp1_top100.csv,100,40,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944]","Reversion-inducing cysteine-rich protein with Kazal motifs, Early growth response protein 1, Krueppel-like factor 5",Genes involved in development and differentiation and gene expression regulation
rank_05_comp2.csv,516,194,"cell division [GO:0051301], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893]","Protein phosphatase 1 regulatory subunit 12A, Nucleoprotein TPR, Msx2-interacting protein",Genes involved in development and differentiation and gene expression regulation
rank_05_comp2_top100.csv,100,37,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of DNA-templated transcription [GO:0045893]","Reversion-inducing cysteine-rich protein with Kazal motifs, Early growth response protein 1, Krueppel-like factor 5",Genes involved in development and differentiation and gene expression regulation
rank_05_comp3.csv,681,309,"positive regulation of transcription by RNA polymerase II [GO:0045944], signal transduction [GO:0007165], cell differentiation [GO:0030154]","Proto-oncogene tyrosine-protein kinase receptor Ret, SH3 and multiple ankyrin repeat domains protein 2, Carnitine O-palmitoyltransferase 1, liver isoform",Genes involved in development and differentiation and signal transduction
rank_05_comp3_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], cell differentiation [GO:0030154], intracellular signal transduction [GO:0035556]","Four and a half LIM domains protein 2, Fibrocystin-L, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_05_comp4.csv,2756,1159,"cell division [GO:0051301], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122]","Hemicentin-1, Protocadherin Fat 4, Synaptotagmin-6",Genes involved in development and differentiation and metabolic processes
rank_05_comp4_top100.csv,100,40,"negative regulation of transcription by RNA polymerase II [GO:0000122], regulation of transcription by RNA polymerase II [GO:0006357], cell division [GO:0051301]","Reversion-inducing cysteine-rich protein with Kazal motifs, Krueppel-like factor 5, Early growth response protein 1",Genes involved in development and differentiation and gene expression regulation
rank_05_comp5.csv,1252,530,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122]","Homeobox protein Nkx-2.2a, Serine/threonine-protein kinase Nek8, tRNA",Genes involved in development and differentiation and gene expression regulation
rank_05_comp5_top100.csv,100,44,"regulation of transcription by RNA polymerase II [GO:0006357], negative regulation of transcription by RNA polymerase II [GO:0000122], positive regulation of DNA-templated transcription [GO:0045893]","Reversion-inducing cysteine-rich protein with Kazal motifs, Dynein axonemal heavy chain 6, Transcription factor AP-2-alpha",Genes involved in development and differentiation and gene expression regulation
