gene,n_regulators,r2_base_model,r2_full_model,improvement_from_regulators,has_significant_interactions,interaction_p_value,regulator_types,CpG_count,lncRNA_count,miRNA_count
gene-Peve_00029386,55,0.7090212986737702,1,0.2909787013262298,FALSE,1,"['lncrna_lncRNA_16325', 'lncrna_lncRNA_22131', 'lncrna_lncRNA_14439', 'lncrna_lncRNA_14440', 'lncrna_lncRNA_24000', 'lncrna_lncRNA_22056', 'lncrna_lncRNA_18128', 'lncrna_lncRNA_16326', 'lncrna_lncRNA_020', 'lncrna_lncRNA_021', 'lncrna_lncRNA_022', 'lncrna_lncRNA_5063', 'lncrna_lncRNA_22055', 'lncrna_lncRNA_22556', 'lncrna_lncRNA_8776', 'lncrna_lncRNA_18126', 'lncrna_lncRNA_22132', 'lncrna_lncRNA_18129', 'lncrna_lncRNA_21175', 'lncrna_lncRNA_8709', 'lncrna_lncRNA_15470', 'lncrna_lncRNA_7391', 'lncrna_lncRNA_9924', 'lncrna_lncRNA_4234', 'lncrna_lncRNA_8544', 'lncrna_lncRNA_19845', 'lncrna_lncRNA_22164', 'lncrna_lncRNA_15495', 'lncrna_lncRNA_923', 'lncrna_lncRNA_22163', 'methylation_CpG_Porites_evermani_scaffold_407_273704', 'methylation_CpG_Porites_evermani_scaffold_229_38845', 'methylation_CpG_Porites_evermani_scaffold_78_203078', 'methylation_CpG_Porites_evermani_scaffold_2546_11499', 'methylation_CpG_Porites_evermani_scaffold_399_103703', 'methylation_CpG_Porites_evermani_scaffold_450_37554', 'methylation_CpG_Porites_evermani_scaffold_157_329534', 'methylation_CpG_Porites_evermani_scaffold_694_206220', 'methylation_CpG_Porites_evermani_scaffold_329_291784', 'methylation_CpG_Porites_evermani_scaffold_405_263168', 'methylation_CpG_Porites_evermani_scaffold_18_187064', 'methylation_CpG_Porites_evermani_scaffold_18_187139', 'methylation_CpG_Porites_evermani_scaffold_18_187102', 'methylation_CpG_Porites_evermani_scaffold_871_124577', 'methylation_CpG_Porites_evermani_scaffold_387_238000', 'methylation_CpG_Porites_evermani_scaffold_2313_45939', 'methylation_CpG_Porites_evermani_scaffold_1815_84061', 'methylation_CpG_Porites_evermani_scaffold_959_131193', 'methylation_CpG_Porites_evermani_scaffold_703_121931', 'methylation_CpG_Porites_evermani_scaffold_18_187012', 'methylation_CpG_Porites_evermani_scaffold_2014_75169', 'methylation_CpG_Porites_evermani_scaffold_422_268160', 'methylation_CpG_Porites_evermani_scaffold_76_82773', 'methylation_CpG_Porites_evermani_scaffold_265_160340', 'methylation_CpG_Porites_evermani_scaffold_302_303574']",1,1,0
gene-Peve_00032728,55,0.7833960363677601,1,0.21660396363223988,FALSE,1,"['lncrna_lncRNA_11906', 'lncrna_lncRNA_15019', 'lncrna_lncRNA_5243', 'lncrna_lncRNA_7926', 'lncrna_lncRNA_23021', 'lncrna_lncRNA_14045', 'lncrna_lncRNA_14133', 'lncrna_lncRNA_4328', 'lncrna_lncRNA_22438', 'lncrna_lncRNA_19574', 'lncrna_lncRNA_4517', 'lncrna_lncRNA_20730', 'lncrna_lncRNA_14126', 'lncrna_lncRNA_2224', 'lncrna_lncRNA_2229', 'lncrna_lncRNA_14134', 'lncrna_lncRNA_9768', 'lncrna_lncRNA_15002', 'lncrna_lncRNA_7004', 'lncrna_lncRNA_17486', 'lncrna_lncRNA_9770', 'lncrna_lncRNA_18900', 'lncrna_lncRNA_23379', 'lncrna_lncRNA_14509', 'lncrna_lncRNA_20952', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_16206', 'lncrna_lncRNA_16207', 'lncrna_lncRNA_9028', 'lncrna_lncRNA_15331', 'methylation_CpG_Porites_evermani_scaffold_2172_47944', 'methylation_CpG_Porites_evermani_scaffold_1993_18892', 'methylation_CpG_Porites_evermani_scaffold_1338_58347', 'methylation_CpG_Porites_evermani_scaffold_1815_84061', 'methylation_CpG_Porites_evermani_scaffold_1930_79378', 'methylation_CpG_Porites_evermani_scaffold_6251_3181', 'methylation_CpG_Porites_evermani_scaffold_2797_52499', 'methylation_CpG_Porites_evermani_scaffold_2172_47953', 'methylation_CpG_Porites_evermani_scaffold_819_184134', 'methylation_CpG_Porites_evermani_scaffold_165_221477', 'methylation_CpG_Porites_evermani_scaffold_171_88546', 'methylation_CpG_Porites_evermani_scaffold_533_200220', 'methylation_CpG_Porites_evermani_scaffold_840_52967', 'methylation_CpG_Porites_evermani_scaffold_694_149299', 'methylation_CpG_Porites_evermani_scaffold_214_251425', 'methylation_CpG_Porites_evermani_scaffold_174_194591', 'methylation_CpG_Porites_evermani_scaffold_1527_117999', 'methylation_CpG_Porites_evermani_scaffold_294_285252', 'methylation_CpG_Porites_evermani_scaffold_25_426675', 'methylation_CpG_Porites_evermani_scaffold_105_215247', 'methylation_CpG_Porites_evermani_scaffold_1104_55988', 'methylation_CpG_Porites_evermani_scaffold_405_263168', 'methylation_CpG_Porites_evermani_scaffold_3_1181', 'methylation_CpG_Porites_evermani_scaffold_405_263329', 'methylation_CpG_Porites_evermani_scaffold_105_215283']",1,1,0
gene-Peve_00038375,55,0.7799279035193538,1,0.22007209648064616,FALSE,1,"['lncrna_lncRNA_5064', 'lncrna_lncRNA_7004', 'lncrna_lncRNA_23644', 'lncrna_lncRNA_7403', 'lncrna_lncRNA_10588', 'lncrna_lncRNA_22154', 'lncrna_lncRNA_23379', 'lncrna_lncRNA_7003', 'lncrna_lncRNA_22155', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_23401', 'lncrna_lncRNA_17673', 'lncrna_lncRNA_17676', 'lncrna_lncRNA_17857', 'lncrna_lncRNA_18161', 'lncrna_lncRNA_5243', 'lncrna_lncRNA_784', 'lncrna_lncRNA_1899', 'lncrna_lncRNA_3878', 'lncrna_lncRNA_3879', 'lncrna_lncRNA_22813', 'lncrna_lncRNA_22438', 'lncrna_lncRNA_3972', 'lncrna_lncRNA_16206', 'lncrna_lncRNA_16207', 'lncrna_lncRNA_13443', 'lncrna_lncRNA_19259', 'lncrna_lncRNA_23580', 'lncrna_lncRNA_12545', 'lncrna_lncRNA_15302', 'methylation_CpG_Porites_evermani_scaffold_188_378671', 'methylation_CpG_Porites_evermani_scaffold_174_194591', 'methylation_CpG_Porites_evermani_scaffold_289_136776', 'methylation_CpG_Porites_evermani_scaffold_2172_47944', 'methylation_CpG_Porites_evermani_scaffold_4242_21852', 'methylation_CpG_Porites_evermani_scaffold_405_263329', 'methylation_CpG_Porites_evermani_scaffold_2909_32682', 'methylation_CpG_Porites_evermani_scaffold_52_249589', 'methylation_CpG_Porites_evermani_scaffold_405_263168', 'methylation_CpG_Porites_evermani_scaffold_6251_3181', 'methylation_CpG_Porites_evermani_scaffold_382_67134', 'methylation_CpG_Porites_evermani_scaffold_1815_84061', 'methylation_CpG_Porites_evermani_scaffold_415_230488', 'methylation_CpG_Porites_evermani_scaffold_1026_139227', 'methylation_CpG_Porites_evermani_scaffold_289_136120', 'methylation_CpG_Porites_evermani_scaffold_2606_57817', 'methylation_CpG_Porites_evermani_scaffold_2240_62849', 'methylation_CpG_Porites_evermani_scaffold_1739_65847', 'methylation_CpG_Porites_evermani_scaffold_382_67105', 'methylation_CpG_Porites_evermani_scaffold_2014_75169', 'methylation_CpG_Porites_evermani_scaffold_840_52967', 'methylation_CpG_Porites_evermani_scaffold_7445_432', 'methylation_CpG_Porites_evermani_scaffold_736_113708', 'methylation_CpG_Porites_evermani_scaffold_229_38845', 'methylation_CpG_Porites_evermani_scaffold_3048_11501']",1,1,0
gene-Peve_00040670,55,0.750367371191112,1,0.24963262880888804,FALSE,1,"['lncrna_lncRNA_17159', 'lncrna_lncRNA_15019', 'lncrna_lncRNA_17160', 'lncrna_lncRNA_14509', 'lncrna_lncRNA_3878', 'lncrna_lncRNA_3879', 'lncrna_lncRNA_2224', 'lncrna_lncRNA_18094', 'lncrna_lncRNA_2229', 'lncrna_lncRNA_22438', 'lncrna_lncRNA_5207', 'lncrna_lncRNA_8303', 'lncrna_lncRNA_22813', 'lncrna_lncRNA_3972', 'lncrna_lncRNA_22921', 'lncrna_lncRNA_18741', 'lncrna_lncRNA_3596', 'lncrna_lncRNA_13864', 'lncrna_lncRNA_16206', 'lncrna_lncRNA_16207', 'lncrna_lncRNA_11906', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_10402', 'lncrna_lncRNA_546', 'lncrna_lncRNA_5064', 'lncrna_lncRNA_4885', 'lncrna_lncRNA_4886', 'lncrna_lncRNA_4887', 'lncrna_lncRNA_1619', 'lncrna_lncRNA_9768', 'methylation_CpG_Porites_evermani_scaffold_2172_47944', 'methylation_CpG_Porites_evermani_scaffold_1314_60370', 'methylation_CpG_Porites_evermani_scaffold_188_378671', 'methylation_CpG_Porites_evermani_scaffold_1590_84697', 'methylation_CpG_Porites_evermani_scaffold_440_118364', 'methylation_CpG_Porites_evermani_scaffold_4_1286029', 'methylation_CpG_Porites_evermani_scaffold_2606_57817', 'methylation_CpG_Porites_evermani_scaffold_1520_15176', 'methylation_CpG_Porites_evermani_scaffold_23_612664', 'methylation_CpG_Porites_evermani_scaffold_1549_6611', 'methylation_CpG_Porites_evermani_scaffold_3629_1691', 'methylation_CpG_Porites_evermani_scaffold_2240_62849', 'methylation_CpG_Porites_evermani_scaffold_4242_21852', 'methylation_CpG_Porites_evermani_scaffold_3_1181', 'methylation_CpG_Porites_evermani_scaffold_736_113023', 'methylation_CpG_Porites_evermani_scaffold_1670_76797', 'methylation_CpG_Porites_evermani_scaffold_7445_432', 'methylation_CpG_Porites_evermani_scaffold_559_231566', 'methylation_CpG_Porites_evermani_scaffold_2386_55967', 'methylation_CpG_Porites_evermani_scaffold_212_334903', 'methylation_CpG_Porites_evermani_scaffold_1077_16362', 'methylation_CpG_Porites_evermani_scaffold_2606_52788', 'methylation_CpG_Porites_evermani_scaffold_736_113708', 'methylation_CpG_Porites_evermani_scaffold_1615_35003', 'methylation_CpG_Porites_evermani_scaffold_517_121751']",1,1,0
gene-Peve_00044575,58,0.10459150359895132,1,0.8954084964010487,FALSE,1,"['mirna_Cluster_9535', 'mirna_Cluster_11615', 'mirna_Cluster_5058', 'lncrna_lncRNA_17857', 'lncrna_lncRNA_23580', 'lncrna_lncRNA_6326', 'lncrna_lncRNA_18161', 'lncrna_lncRNA_23644', 'lncrna_lncRNA_23643', 'lncrna_lncRNA_5243', 'lncrna_lncRNA_5064', 'lncrna_lncRNA_12196', 'lncrna_lncRNA_9299', 'lncrna_lncRNA_2909', 'lncrna_lncRNA_3725', 'lncrna_lncRNA_2755', 'lncrna_lncRNA_3112', 'lncrna_lncRNA_22594', 'lncrna_lncRNA_13443', 'lncrna_lncRNA_8430', 'lncrna_lncRNA_17573', 'lncrna_lncRNA_9889', 'lncrna_lncRNA_23401', 'lncrna_lncRNA_080', 'lncrna_lncRNA_17557', 'lncrna_lncRNA_17673', 'lncrna_lncRNA_17676', 'lncrna_lncRNA_20476', 'lncrna_lncRNA_3723', 'lncrna_lncRNA_5683', 'lncrna_lncRNA_21993', 'lncrna_lncRNA_7403', 'lncrna_lncRNA_7980', 'methylation_CpG_Porites_evermani_scaffold_3629_1691', 'methylation_CpG_Porites_evermani_scaffold_151_55938', 'methylation_CpG_Porites_evermani_scaffold_235_79791', 'methylation_CpG_Porites_evermani_scaffold_1998_79587', 'methylation_CpG_Porites_evermani_scaffold_1741_103707', 'methylation_CpG_Porites_evermani_scaffold_408_207349', 'methylation_CpG_Porites_evermani_scaffold_1439_115281', 'methylation_CpG_Porites_evermani_scaffold_1535_44252', 'methylation_CpG_Porites_evermani_scaffold_2909_32682', 'methylation_CpG_Porites_evermani_scaffold_407_273631', 'methylation_CpG_Porites_evermani_scaffold_415_230488', 'methylation_CpG_Porites_evermani_scaffold_2014_78385', 'methylation_CpG_Porites_evermani_scaffold_102_242629', 'methylation_CpG_Porites_evermani_scaffold_1050_91000', 'methylation_CpG_Porites_evermani_scaffold_395_266339', 'methylation_CpG_Porites_evermani_scaffold_3930_33584', 'methylation_CpG_Porites_evermani_scaffold_151_55922', 'methylation_CpG_Porites_evermani_scaffold_1590_84697', 'methylation_CpG_Porites_evermani_scaffold_207_108176', 'methylation_CpG_Porites_evermani_scaffold_2983_3119', 'methylation_CpG_Porites_evermani_scaffold_2640_66215', 'methylation_CpG_Porites_evermani_scaffold_1068_9777', 'methylation_CpG_Porites_evermani_scaffold_1714_32596', 'methylation_CpG_Porites_evermani_scaffold_60_433245', 'methylation_CpG_Porites_evermani_scaffold_1050_69086']",1,1,1
gene-Peve_00000984,70,0.1880412964386751,1,0.8119587035613249,FALSE,1,"['mirna_Cluster_5058', 'mirna_Cluster_6236', 'mirna_Cluster_2454', 'mirna_Cluster_661', 'mirna_Cluster_6234', 'mirna_Cluster_4161', 'mirna_Cluster_981', 'mirna_Cluster_6235', 'mirna_Cluster_6919', 'mirna_Cluster_4160', 'mirna_Cluster_5613', 'mirna_Cluster_11615', 'mirna_Cluster_9535', 'mirna_Cluster_3676', 'mirna_Cluster_491', 'lncrna_lncRNA_18613', 'lncrna_lncRNA_18178', 'lncrna_lncRNA_9222', 'lncrna_lncRNA_20213', 'lncrna_lncRNA_14318', 'lncrna_lncRNA_9334', 'lncrna_lncRNA_775', 'lncrna_lncRNA_057', 'lncrna_lncRNA_17031', 'lncrna_lncRNA_9889', 'lncrna_lncRNA_10934', 'lncrna_lncRNA_4921', 'lncrna_lncRNA_2909', 'lncrna_lncRNA_21134', 'lncrna_lncRNA_15951', 'lncrna_lncRNA_17585', 'lncrna_lncRNA_1684', 'lncrna_lncRNA_9949', 'lncrna_lncRNA_9478', 'lncrna_lncRNA_21927', 'lncrna_lncRNA_7986', 'lncrna_lncRNA_5199', 'lncrna_lncRNA_13131', 'lncrna_lncRNA_1005', 'lncrna_lncRNA_11887', 'lncrna_lncRNA_11888', 'lncrna_lncRNA_7985', 'lncrna_lncRNA_16455', 'lncrna_lncRNA_13422', 'lncrna_lncRNA_15809', 'methylation_CpG_Porites_evermani_scaffold_635_152590', 'methylation_CpG_Porites_evermani_scaffold_665_210594', 'methylation_CpG_Porites_evermani_scaffold_665_210543', 'methylation_CpG_Porites_evermani_scaffold_1106_148194', 'methylation_CpG_Porites_evermani_scaffold_865_27468', 'methylation_CpG_Porites_evermani_scaffold_1374_27911', 'methylation_CpG_Porites_evermani_scaffold_202_145856', 'methylation_CpG_Porites_evermani_scaffold_2205_11543', 'methylation_CpG_Porites_evermani_scaffold_86_219942', 'methylation_CpG_Porites_evermani_scaffold_7_345611', 'methylation_CpG_Porites_evermani_scaffold_497_132101', 'methylation_CpG_Porites_evermani_scaffold_2205_11420', 'methylation_CpG_Porites_evermani_scaffold_202_145871', 'methylation_CpG_Porites_evermani_scaffold_2551_416', 'methylation_CpG_Porites_evermani_scaffold_2205_11432', 'methylation_CpG_Porites_evermani_scaffold_3235_49277', 'methylation_CpG_Porites_evermani_scaffold_1106_148156', 'methylation_CpG_Porites_evermani_scaffold_635_152571', 'methylation_CpG_Porites_evermani_scaffold_665_210552', 'methylation_CpG_Porites_evermani_scaffold_5890_1416', 'methylation_CpG_Porites_evermani_scaffold_5890_2217', 'methylation_CpG_Porites_evermani_scaffold_3137_13545', 'methylation_CpG_Porites_evermani_scaffold_6157_5217', 'methylation_CpG_Porites_evermani_scaffold_635_152602', 'methylation_CpG_Porites_evermani_scaffold_865_27264']",1,1,1
gene-Peve_00033619,64,0.22124188417018575,1,0.7787581158298142,FALSE,1,"['mirna_Cluster_5058', 'mirna_Cluster_661', 'mirna_Cluster_9535', 'mirna_Cluster_11615', 'mirna_Cluster_2454', 'mirna_Cluster_6236', 'mirna_Cluster_5613', 'mirna_Cluster_3676', 'mirna_Cluster_6919', 'lncrna_lncRNA_5137', 'lncrna_lncRNA_5136', 'lncrna_lncRNA_17557', 'lncrna_lncRNA_9889', 'lncrna_lncRNA_5683', 'lncrna_lncRNA_6326', 'lncrna_lncRNA_784', 'lncrna_lncRNA_2755', 'lncrna_lncRNA_14324', 'lncrna_lncRNA_15303', 'lncrna_lncRNA_12338', 'lncrna_lncRNA_15302', 'lncrna_lncRNA_23580', 'lncrna_lncRNA_4633', 'lncrna_lncRNA_4632', 'lncrna_lncRNA_22025', 'lncrna_lncRNA_8239', 'lncrna_lncRNA_8240', 'lncrna_lncRNA_8241', 'lncrna_lncRNA_9380', 'lncrna_lncRNA_24155', 'lncrna_lncRNA_8271', 'lncrna_lncRNA_11677', 'lncrna_lncRNA_9381', 'lncrna_lncRNA_9382', 'lncrna_lncRNA_18178', 'lncrna_lncRNA_20964', 'lncrna_lncRNA_7986', 'lncrna_lncRNA_11269', 'lncrna_lncRNA_7506', 'methylation_CpG_Porites_evermani_scaffold_663_543', 'methylation_CpG_Porites_evermani_scaffold_2903_25390', 'methylation_CpG_Porites_evermani_scaffold_5544_10248', 'methylation_CpG_Porites_evermani_scaffold_2386_55967', 'methylation_CpG_Porites_evermani_scaffold_86_219942', 'methylation_CpG_Porites_evermani_scaffold_665_11823', 'methylation_CpG_Porites_evermani_scaffold_3050_7478', 'methylation_CpG_Porites_evermani_scaffold_173_77641', 'methylation_CpG_Porites_evermani_scaffold_873_101066', 'methylation_CpG_Porites_evermani_scaffold_746_194448', 'methylation_CpG_Porites_evermani_scaffold_136_382322', 'methylation_CpG_Porites_evermani_scaffold_105_102321', 'methylation_CpG_Porites_evermani_scaffold_173_80452', 'methylation_CpG_Porites_evermani_scaffold_2583_21884', 'methylation_CpG_Porites_evermani_scaffold_4644_17696', 'methylation_CpG_Porites_evermani_scaffold_1659_59473', 'methylation_CpG_Porites_evermani_scaffold_2371_70847', 'methylation_CpG_Porites_evermani_scaffold_173_77620', 'methylation_CpG_Porites_evermani_scaffold_1091_154482', 'methylation_CpG_Porites_evermani_scaffold_153_106965', 'methylation_CpG_Porites_evermani_scaffold_181_350900', 'methylation_CpG_Porites_evermani_scaffold_915_38413', 'methylation_CpG_Porites_evermani_scaffold_376_237853', 'methylation_CpG_Porites_evermani_scaffold_1854_29398', 'methylation_CpG_Porites_evermani_scaffold_440_118364']",1,1,1
gene-Peve_00038134,55,0.7876507304034273,1,0.21234926959657272,FALSE,1,"['lncrna_lncRNA_7003', 'lncrna_lncRNA_15303', 'lncrna_lncRNA_15302', 'lncrna_lncRNA_7004', 'lncrna_lncRNA_222', 'lncrna_lncRNA_18161', 'lncrna_lncRNA_23401', 'lncrna_lncRNA_5082', 'lncrna_lncRNA_8517', 'lncrna_lncRNA_8883', 'lncrna_lncRNA_18162', 'lncrna_lncRNA_23580', 'lncrna_lncRNA_21667', 'lncrna_lncRNA_13443', 'lncrna_lncRNA_7403', 'lncrna_lncRNA_12725', 'lncrna_lncRNA_22154', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_22155', 'lncrna_lncRNA_20529', 'lncrna_lncRNA_14009', 'lncrna_lncRNA_18022', 'lncrna_lncRNA_1903', 'lncrna_lncRNA_23579', 'lncrna_lncRNA_5064', 'lncrna_lncRNA_8105', 'lncrna_lncRNA_2755', 'lncrna_lncRNA_4980', 'lncrna_lncRNA_13136', 'lncrna_lncRNA_352', 'methylation_CpG_Porites_evermani_scaffold_229_38845', 'methylation_CpG_Porites_evermani_scaffold_202_145939', 'methylation_CpG_Porites_evermani_scaffold_1829_58848', 'methylation_CpG_Porites_evermani_scaffold_30_554609', 'methylation_CpG_Porites_evermani_scaffold_39_573016', 'methylation_CpG_Porites_evermani_scaffold_1815_84061', 'methylation_CpG_Porites_evermani_scaffold_770_74449', 'methylation_CpG_Porites_evermani_scaffold_1739_65847', 'methylation_CpG_Porites_evermani_scaffold_2158_27995', 'methylation_CpG_Porites_evermani_scaffold_407_273704', 'methylation_CpG_Porites_evermani_scaffold_6251_3181', 'methylation_CpG_Porites_evermani_scaffold_2158_28002', 'methylation_CpG_Porites_evermani_scaffold_1195_73746', 'methylation_CpG_Porites_evermani_scaffold_1829_58856', 'methylation_CpG_Porites_evermani_scaffold_30_554669', 'methylation_CpG_Porites_evermani_scaffold_4114_23202', 'methylation_CpG_Porites_evermani_scaffold_415_230488', 'methylation_CpG_Porites_evermani_scaffold_405_263168', 'methylation_CpG_Porites_evermani_scaffold_1338_58347', 'methylation_CpG_Porites_evermani_scaffold_25_426675', 'methylation_CpG_Porites_evermani_scaffold_52_249589', 'methylation_CpG_Porites_evermani_scaffold_124_298642', 'methylation_CpG_Porites_evermani_scaffold_2797_55995', 'methylation_CpG_Porites_evermani_scaffold_3_4043', 'methylation_CpG_Porites_evermani_scaffold_2174_25676']",1,1,0
gene-Peve_00009052,55,0.862345225195485,1,0.13765477480451505,FALSE,1,"['lncrna_lncRNA_23580', 'lncrna_lncRNA_17857', 'lncrna_lncRNA_23579', 'lncrna_lncRNA_18094', 'lncrna_lncRNA_6084', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_1899', 'lncrna_lncRNA_5064', 'lncrna_lncRNA_6326', 'lncrna_lncRNA_13443', 'lncrna_lncRNA_17194', 'lncrna_lncRNA_23401', 'lncrna_lncRNA_4642', 'lncrna_lncRNA_21336', 'lncrna_lncRNA_12654', 'lncrna_lncRNA_22813', 'lncrna_lncRNA_17673', 'lncrna_lncRNA_17676', 'lncrna_lncRNA_11677', 'lncrna_lncRNA_21340', 'lncrna_lncRNA_4887', 'lncrna_lncRNA_4885', 'lncrna_lncRNA_4886', 'lncrna_lncRNA_22242', 'lncrna_lncRNA_4002', 'lncrna_lncRNA_4003', 'lncrna_lncRNA_20064', 'lncrna_lncRNA_4888', 'lncrna_lncRNA_18161', 'lncrna_lncRNA_22154', 'methylation_CpG_Porites_evermani_scaffold_2909_32682', 'methylation_CpG_Porites_evermani_scaffold_235_79791', 'methylation_CpG_Porites_evermani_scaffold_3629_1691', 'methylation_CpG_Porites_evermani_scaffold_156_304787', 'methylation_CpG_Porites_evermani_scaffold_1465_41899', 'methylation_CpG_Porites_evermani_scaffold_207_108176', 'methylation_CpG_Porites_evermani_scaffold_1590_84697', 'methylation_CpG_Porites_evermani_scaffold_915_38413', 'methylation_CpG_Porites_evermani_scaffold_408_207349', 'methylation_CpG_Porites_evermani_scaffold_1987_65651', 'methylation_CpG_Porites_evermani_scaffold_1535_44252', 'methylation_CpG_Porites_evermani_scaffold_2856_806', 'methylation_CpG_Porites_evermani_scaffold_1314_60370', 'methylation_CpG_Porites_evermani_scaffold_1439_115281', 'methylation_CpG_Porites_evermani_scaffold_3073_47827', 'methylation_CpG_Porites_evermani_scaffold_840_52967', 'methylation_CpG_Porites_evermani_scaffold_393_158206', 'methylation_CpG_Porites_evermani_scaffold_28_178538', 'methylation_CpG_Porites_evermani_scaffold_1068_9777', 'methylation_CpG_Porites_evermani_scaffold_5442_12996', 'methylation_CpG_Porites_evermani_scaffold_924_92607', 'methylation_CpG_Porites_evermani_scaffold_1998_79587', 'methylation_CpG_Porites_evermani_scaffold_1775_97803', 'methylation_CpG_Porites_evermani_scaffold_2342_42295', 'methylation_CpG_Porites_evermani_scaffold_1549_6611']",1,1,0
gene-Peve_00010478,55,0.7759118939466955,1,0.22408810605330456,FALSE,1,"['lncrna_lncRNA_686', 'lncrna_lncRNA_10458', 'lncrna_lncRNA_685', 'lncrna_lncRNA_5596', 'lncrna_lncRNA_591', 'lncrna_lncRNA_592', 'lncrna_lncRNA_14424', 'lncrna_lncRNA_3477', 'lncrna_lncRNA_20131', 'lncrna_lncRNA_22813', 'lncrna_lncRNA_1899', 'lncrna_lncRNA_5207', 'lncrna_lncRNA_5337', 'lncrna_lncRNA_3984', 'lncrna_lncRNA_546', 'lncrna_lncRNA_8625', 'lncrna_lncRNA_20387', 'lncrna_lncRNA_3413', 'lncrna_lncRNA_19119', 'lncrna_lncRNA_19120', 'lncrna_lncRNA_18094', 'lncrna_lncRNA_7787', 'lncrna_lncRNA_22921', 'lncrna_lncRNA_21287', 'lncrna_lncRNA_19116', 'lncrna_lncRNA_19118', 'lncrna_lncRNA_2868', 'lncrna_lncRNA_2308', 'lncrna_lncRNA_2802', 'lncrna_lncRNA_2803', 'methylation_CpG_Porites_evermani_scaffold_854_125395', 'methylation_CpG_Porites_evermani_scaffold_831_25880', 'methylation_CpG_Porites_evermani_scaffold_5979_340', 'methylation_CpG_Porites_evermani_scaffold_1670_76797', 'methylation_CpG_Porites_evermani_scaffold_1615_35003', 'methylation_CpG_Porites_evermani_scaffold_1101_91784', 'methylation_CpG_Porites_evermani_scaffold_854_125489', 'methylation_CpG_Porites_evermani_scaffold_223_121955', 'methylation_CpG_Porites_evermani_scaffold_18_1027425', 'methylation_CpG_Porites_evermani_scaffold_1030_10794', 'methylation_CpG_Porites_evermani_scaffold_583_76600', 'methylation_CpG_Porites_evermani_scaffold_2969_26590', 'methylation_CpG_Porites_evermani_scaffold_5352_8739', 'methylation_CpG_Porites_evermani_scaffold_5979_334', 'methylation_CpG_Porites_evermani_scaffold_97_512289', 'methylation_CpG_Porites_evermani_scaffold_1757_26135', 'methylation_CpG_Porites_evermani_scaffold_840_52967', 'methylation_CpG_Porites_evermani_scaffold_97_512295', 'methylation_CpG_Porites_evermani_scaffold_2516_9991', 'methylation_CpG_Porites_evermani_scaffold_1152_145771', 'methylation_CpG_Porites_evermani_scaffold_1549_6611', 'methylation_CpG_Porites_evermani_scaffold_8154_1039', 'methylation_CpG_Porites_evermani_scaffold_151_360856', 'methylation_CpG_Porites_evermani_scaffold_716_164658', 'methylation_CpG_Porites_evermani_scaffold_3772_6252']",1,1,0
