gene_id	1A1	1A10	1A12	1A2	1A8	1A9	1B1	1B10	1B2	1B5	1B9	1C10	1C4	1D10	1D3	1D4	1D6	1D8	1D9	1E1	1E3	1E5	1E9	1F11	1F4	1F8	1G5	1H11	1H12	1H6	1H7	1H8	2B2	2B3	2C1	2C2	2D2	2E2	2F1	2G1
FUN_000960	903	931	1011	688	556	703	1290	1279	973	2296	1386	1359	1784	703	830	1166	568	647	382	829	761	1908	1184	920	997	632	1153	1011	355	632	906	2180	1493	930	989	718	1353	1006	1531	545
FUN_007016	676	879	966	531	1307	441	1108	906	1123	1174	1133	913	542	781	628	810	628	423	711	898	734	1096	1184	587	835	936	970	966	502	936	768	942	1279	852	728	614	722	574	1172	519
FUN_009532	5581	8292	8286	3273	3582	9792	11835	7338	6877	12103	5583	5040	14843	8175	5379	7058	7586	6681	2420	7002	6671	6612	5645	8088	8580	5300	10247	8286	2728	5300	8385	7927	6199	8580	4838	12854	5481	2610	4873	5096
FUN_014563	2599	5301	2048	790	1900	3351	2067	5251	2798	3705	1967	2939	9887	1865	1468	687	2991	1228	260	1771	2935	4295	2714	3203	1524	2200	2818	2048	1731	2200	2161	17793	5152	2532	862	2185	3344	1672	3724	2017
FUN_014564	327	329	662	136	581	433	763	741	522	928	541	501	1128	360	292	325	356	232	150	361	589	1024	320	503	367	376	678	662	255	376	508	1237	637	736	256	443	456	371	446	379
FUN_014565	1272	1729	1468	1227	1239	1430	2475	2254	2110	2778	1939	2056	2710	1447	1602	1484	1496	1041	416	1253	1412	3313	2355	1413	1069	2007	1791	1468	1387	2007	1443	3696	2672	1963	1617	1163	1665	935	2550	1011
FUN_015065	2907	2095	7034	1999	6748	3840	5253	3318	5972	3919	2492	2460	2737	4988	2446	3447	5641	3726	1669	3139	6554	7261	2389	4776	5420	4420	4966	7034	3788	4420	5722	4144	2449	5264	1677	5073	2156	2065	1871	5146
FUN_025367	5136	1532	1897	5388	2914	1823	4249	3610	5802	8532	6549	7403	3844	2069	4742	6235	2181	1393	5905	2315	2006	9040	6619	1868	1868	2822	3007	1897	2708	2822	3443	3993	6782	2971	5508	2030	6008	4661	9833	1337
FUN_025823	675	468	1033	296	678	708	767	1448	582	1913	852	703	1346	637	461	812	619	565	238	712	720	1032	1180	941	1023	499	1127	1033	342	499	763	1672	1593	1039	577	818	1422	699	1002	497
FUN_025802	1736	1155	2135	1404	1291	1687	2613	2437	2055	4370	3385	2733	2853	1540	1656	2479	1167	999	979	1746	1676	2750	2378	1625	2008	1417	2731	2135	917	1417	1826	3659	2429	1835	2025	1458	2089	1673	2279	1057
FUN_028263	64	34	61	26	28	114	45	48	31	76	47	14	64	93	14	45	75	21	16	55	56	70	43	53	73	50	111	61	0	50	47	62	37	73	24	33	56	30	0	36
FUN_031686	668	552	597	810	523	616	1048	1009	949	1345	1173	867	1027	819	568	1072	372	540	480	873	651	1117	1140	507	559	814	836	597	707	814	811	1338	1138	582	925	591	585	330	973	346
FUN_031975	1164	538	1054	885	848	326	1507	868	1687	1450	1522	1453	937	440	977	1393	491	358	1075	794	577	1604	1483	662	723	734	972	1054	765	734	1092	1286	1158	707	1039	477	1247	995	1329	357
FUN_032701	1265	505	2597	765	1254	1998	2777	732	1968	3502	1543	1123	1471	1850	886	1737	1756	1203	1006	1346	2117	3656	645	2452	2460	1072	3973	2597	832	1072	3802	2916	963	2103	975	1683	880	1184	256	1450
FUN_033885	259	159	289	98	401	198	427	274	221	401	188	184	421	230	99	139	359	201	99	304	402	308	182	216	271	199	419	289	158	199	366	374	226	326	155	356	163	181	115	201
FUN_036898	301	365	1286	171	988	889	1336	857	470	1423	433	460	1508	493	329	327	877	471	241	635	1011	1067	335	1136	1007	181	1394	1286	318	181	1046	1913	702	1598	236	2167	562	305	287	747
FUN_038166	392	366	416	211	326	313	398	706	457	840	619	316	703	269	262	587	226	249	189	307	425	388	615	408	355	203	478	416	128	203	468	753	518	503	329	459	1028	681	459	155
FUN_038688	1933	1858	4668	2470	2807	2184	4017	2908	4062	4232	2895	2554	2340	2611	1676	3131	3115	2112	1265	2991	3719	3614	3294	2667	2963	2516	3845	4668	2515	2516	3076	3407	3165	4063	2510	2335	2120	1772	2862	2312
FUN_038727	87	34	86	40	77	105	203	77	108	230	67	113	118	38	72	114	94	61	63	52	97	224	109	104	82	58	174	86	88	58	164	119	120	155	139	150	45	118	42	36
FUN_038738	250	274	1004	181	768	486	1229	223	894	405	166	134	325	517	185	300	459	346	156	482	604	1669	164	661	970	476	1446	1004	354	476	1272	423	192	1014	196	534	232	364	102	358
FUN_039808	1253	543	1093	742	804	487	1827	785	2033	1736	1388	1461	662	656	874	1366	561	498	844	923	867	2340	898	1087	965	843	1309	1093	752	843	1435	1204	1086	1379	892	860	997	1099	822	650
FUN_040783	2307	816	3606	1727	1899	3046	4469	3826	4030	7158	2978	5219	3266	1481	2586	4024	2569	1868	1722	1472	1760	2489	3241	2733	3163	1567	4625	3606	2111	1567	3653	4002	1760	3395	3346	2216	1741	1358	1324	1646
