rank,random_state,fms_synthetic,synthetic_success,synthetic_method,recovery_quality
5,41,0.7447494980750065,True,synthetic_validation,good
8,41,0.6677212063516755,True,synthetic_validation,fair
10,41,0.9118443991420511,True,synthetic_validation,excellent
12,41,0.8617857219785433,True,synthetic_validation,good
15,41,0.7984989021607504,True,synthetic_validation,good
20,41,0.6957487678557919,True,synthetic_validation,fair
25,41,0.6467789013979555,True,synthetic_validation,fair
35,41,0.4254575029339688,True,synthetic_validation,poor
45,41,0.6679047907509376,True,synthetic_validation,fair
55,41,0.5323561311725747,True,synthetic_validation,fair
65,41,0.478956012564184,True,synthetic_validation,poor
75,41,0.47030892674069263,True,synthetic_validation,poor
5,42,0.7511710084420087,True,synthetic_validation,good
8,42,0.7653626452168629,True,synthetic_validation,good
10,42,0.7634469058144634,True,synthetic_validation,good
12,42,0.7729218644533127,True,synthetic_validation,good
15,42,0.8118980644260478,True,synthetic_validation,good
20,42,0.6779018555885834,True,synthetic_validation,fair
25,42,0.7312787550141583,True,synthetic_validation,good
35,42,0.5780750855646649,True,synthetic_validation,fair
45,42,0.6829928909836803,True,synthetic_validation,fair
55,42,0.5685587665325248,True,synthetic_validation,fair
65,42,0.5034302598841655,True,synthetic_validation,fair
75,42,0.5108342074181846,True,synthetic_validation,fair
5,43,0.9250349911055485,True,synthetic_validation,excellent
8,43,0.8955385044826786,True,synthetic_validation,good
10,43,0.8747588707231749,True,synthetic_validation,good
12,43,0.8237166367564736,True,synthetic_validation,good
15,43,0.8019829743587295,True,synthetic_validation,good
20,43,0.5917174610036893,True,synthetic_validation,fair
25,43,0.5951369771722832,True,synthetic_validation,fair
35,43,0.5294964054377604,True,synthetic_validation,fair
45,43,0.5553462885345042,True,synthetic_validation,fair
55,43,0.47245466978184625,True,synthetic_validation,poor
65,43,0.48774348998036454,True,synthetic_validation,poor
75,43,0.4313788563504963,True,synthetic_validation,poor
5,44,0.7403514906198968,True,synthetic_validation,good
8,44,0.869633982591064,True,synthetic_validation,good
10,44,0.8598672915259877,True,synthetic_validation,good
12,44,0.8779270349448803,True,synthetic_validation,good
15,44,0.7416145262121849,True,synthetic_validation,good
20,44,0.7836287728812346,True,synthetic_validation,good
25,44,0.8187251983256644,True,synthetic_validation,good
35,44,0.6481117599840428,True,synthetic_validation,fair
45,44,0.6034477529985064,True,synthetic_validation,fair
55,44,0.5034873322603448,True,synthetic_validation,fair
65,44,0.4840300585288587,True,synthetic_validation,poor
75,44,0.42696319850615067,True,synthetic_validation,poor
5,45,0.7138785888959885,True,synthetic_validation,good
8,45,0.8419601879611734,True,synthetic_validation,good
10,45,0.5797640608007917,True,synthetic_validation,fair
12,45,0.8641102369712498,True,synthetic_validation,good
15,45,0.8320758977950186,True,synthetic_validation,good
20,45,0.5293503993125948,True,synthetic_validation,fair
25,45,0.7736530269563129,True,synthetic_validation,good
35,45,0.7375423873706961,True,synthetic_validation,good
45,45,0.5673677268615334,True,synthetic_validation,fair
55,45,0.6029317728901381,True,synthetic_validation,fair
65,45,0.4698348159060962,True,synthetic_validation,poor
75,45,0.44449547055447225,True,synthetic_validation,poor
