readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	55999	236635
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	21293	93107
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	21780	429261
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	22863	145492
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	24144	68399
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	446820	2581992
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	37364	443537
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	11313	219203
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	11087	144517
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	13703	128753
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	17188	80568
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	335897	4241927
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	21509	96228
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	7451	54592
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	7039	32682
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	9667	113053
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	12660	73628
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	273216	1590730
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	9525	48693
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	3619	9722
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	2320	8192
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	2125	10357
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	2271	9170
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	39994	403058
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	57418	172432
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	39765	87384
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	35319	99866
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	28397	117069
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	36572	155031
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A3-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	508116	5165666
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	46499	93006
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	19846	46181
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	21506	42237
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	23219	70968
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	24323	46124
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	164715	425326
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	30241	893908
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	9327	265255
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	9726	243158
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	10075	243084
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	10144	229819
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	66592	2004352
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	12492	296515
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	4238	155907
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	4419	84689
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	4789	612062
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	5036	176025
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	33649	730229
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/F-Ptua/output/04-Ptua-sRNA-discovery-ShortStack/ShortStack_out/1A4-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	2104	6666
