Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032720~negative regulation of tumor necrosis factor production	3	15.789473684210526	0.0033807751952310973	Q5DU56, A0MQH0, Q7RTR2	18	18	3428	31.740740740740737	0.35174579953480334	0.43273922498958045	0.43273922498958045
GOTERM_BP_DIRECT	GO:0032687~negative regulation of interferon-alpha production	2	10.526315789473683	0.00989516636194927	Q5DU56, Q7RTR2	18	2	3428	190.44444444444446	0.719978658393021	0.5731823029429141	0.5731823029429141
GOTERM_MF_DIRECT	GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding	2	10.526315789473683	0.013820707971162846	Q5DU56, Q7RTR2	17	3	3458	135.6078431372549	0.6622786209909833	1.0	1.0
GOTERM_BP_DIRECT	GO:1900016~negative regulation of cytokine production involved in inflammatory response	2	10.526315789473683	0.019698124365563726	Q5DU56, Q7RTR2	18	4	3428	95.22222222222223	0.9216464462495014	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0032688~negative regulation of interferon-beta production	2	10.526315789473683	0.019698124365563726	Q5DU56, Q7RTR2	18	4	3428	95.22222222222223	0.9216464462495014	0.5731823029429141	0.5731823029429141
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	4	21.052631578947366	0.021147635781174803	Q9VSR3, Q5DU56, A0MQH0, Q7RTR2	19	120	3554	6.235087719298245	0.7943766813023277	1.0	1.0
GOTERM_BP_DIRECT	GO:0050680~negative regulation of epithelial cell proliferation	2	10.526315789473683	0.024565277369441196	Q5DU56, Q7RTR2	18	5	3428	76.17777777777778	0.9585646485475111	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0048147~negative regulation of fibroblast proliferation	2	10.526315789473683	0.029409680023859484	Q5DU56, Q7RTR2	18	6	3428	63.481481481481474	0.9780920207261737	0.5731823029429141	0.5731823029429141
GOTERM_MF_DIRECT	GO:0005515~protein binding	10	52.63157894736842	0.031403584307928015	Q9VSR3, Q5DU56, Q9NZV8, A0MQH0, Q9JIT3, Q8NFZ3, Q99570, P22304, Q7RTR2, Q9BUX1	17	1072	3458	1.8974978050921862	0.9169876147834259	1.0	1.0
GOTERM_BP_DIRECT	GO:0007249~canonical NF-kappaB signal transduction	2	10.526315789473683	0.03903063276950037	Q5DU56, Q7RTR2	18	8	3428	47.611111111111114	0.9938790107030224	0.5731823029429141	0.5731823029429141
UP_SEQ_FEATURE	DOMAIN:SRCR	2	10.526315789473683	0.03976275995635491	Q9UEW3, Q8K1T0	17	9	3561	46.549019607843135	0.9989481009200464	1.0	1.0
INTERPRO	IPR051261:NLR	2	10.526315789473683	0.04325088977900312	Q5DU56, Q7RTR2	19	9	3677	43.005847953216374	0.9856578443253191	1.0	1.0
SMART	SM00202:SR	2	10.526315789473683	0.04671162976294583	Q9UEW3, Q8K1T0	12	9	2079	38.5	0.5348546141731412	0.7473860762071333	0.7473860762071333
INTERPRO	IPR036772:SRCR-like_dom_sf	2	10.526315789473683	0.04794595084327613	Q9UEW3, Q8K1T0	19	10	3677	38.705263157894734	0.9910563657960964	1.0	1.0
INTERPRO	IPR001190:SRCR	2	10.526315789473683	0.04794595084327613	Q9UEW3, Q8K1T0	19	10	3677	38.705263157894734	0.9910563657960964	1.0	1.0
INTERPRO	IPR017448:SRCR-like_dom	2	10.526315789473683	0.04794595084327613	Q9UEW3, Q8K1T0	19	10	3677	38.705263157894734	0.9910563657960964	1.0	1.0
GOTERM_BP_DIRECT	GO:1901223~negative regulation of non-canonical NF-kappaB signal transduction	2	10.526315789473683	0.04856177550596206	Q5DU56, Q7RTR2	18	10	3428	38.08888888888889	0.9982911017123054	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0045824~negative regulation of innate immune response	2	10.526315789473683	0.04856177550596206	Q5DU56, Q7RTR2	18	10	3428	38.08888888888889	0.9982911017123054	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:1900226~negative regulation of NLRP3 inflammasome complex assembly	2	10.526315789473683	0.04856177550596206	Q5DU56, Q7RTR2	18	10	3428	38.08888888888889	0.9982911017123054	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0051898~negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	2	10.526315789473683	0.05329391412989787	Q5DU56, Q7RTR2	18	11	3428	34.62626262626262	0.9990973037698484	0.5731823029429141	0.5731823029429141
GOTERM_MF_DIRECT	GO:0016706~2-oxoglutarate-dependent dioxygenase activity	2	10.526315789473683	0.054216119960553213	Q9QZU7, Q08BV2	17	12	3458	33.90196078431372	0.9870649296751703	1.0	1.0
GOTERM_BP_DIRECT	GO:0042110~T cell activation	2	10.526315789473683	0.05800389465601826	Q5DU56, Q7RTR2	18	12	3428	31.740740740740737	0.9995232554643384	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0043124~negative regulation of canonical NF-kappaB signal transduction	2	10.526315789473683	0.06269181438438123	Q5DU56, Q7RTR2	18	13	3428	29.299145299145298	0.9997482621884473	0.5731823029429141	0.5731823029429141
GOTERM_BP_DIRECT	GO:0032715~negative regulation of interleukin-6 production	2	10.526315789473683	0.06269181438438123	Q5DU56, Q7RTR2	18	13	3428	29.299145299145298	0.9997482621884473	0.5731823029429141	0.5731823029429141
UP_SEQ_FEATURE	REPEAT:LRR 16	2	10.526315789473683	0.06544248752389428	Q5DU56, Q7RTR2	17	15	3561	27.929411764705883	0.9999892249432755	1.0	1.0
INTERPRO	IPR041075:NOD1/2_WH	2	10.526315789473683	0.06650948280458382	Q5DU56, Q7RTR2	19	14	3677	27.64661654135338	0.998649323284021	1.0	1.0
