Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0508~mRNA splicing	4	11.428571428571429	0.03292461799527796	Q86UA1, Q6AYK1, P83877, O43390	20	83	2187	5.2698795180722895	0.608358068932084	0.7207120475042846	0.7207120475042846
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	5	14.285714285714285	0.0426002849515677	Q99315, Q6AYK1, A7SMR1, Q8IWZ3, O43390	19	201	2644	3.4616391725582614	0.7406465016306667	1.0	1.0
UP_KW_LIGAND	KW-0067~ATP-binding	6	17.142857142857142	0.04882902097484287	Q99315, P38024, Q4R7L3, Q7ZUW2, Q6PCN7, Q6GLY8	9	535	1857	2.314018691588785	0.2594548416642911	0.2929741258490572	0.2929741258490572
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	4	11.428571428571429	0.05147943196459176	Q86UA1, Q6AYK1, P83877, O43390	20	99	2187	4.418181818181818	0.772328286595996	0.7207120475042846	0.7207120475042846
GOTERM_BP_DIRECT	GO:0051453~regulation of intracellular pH	2	5.714285714285714	0.06359661082245373	Q7SC45, Q4ZJI4	33	7	3428	29.679653679653683	0.9999993989245879	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 23	2	5.714285714285714	0.0718443010407174	P16157, Q8IWZ3	34	8	3561	26.183823529411764	0.9999963667073135	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 22	2	5.714285714285714	0.0718443010407174	P16157, Q8IWZ3	34	8	3561	26.183823529411764	0.9999963667073135	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 21	2	5.714285714285714	0.08046494220705595	P16157, Q8IWZ3	34	9	3561	23.274509803921568	0.999999242342388	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 20	2	5.714285714285714	0.08046494220705595	P16157, Q8IWZ3	34	9	3561	23.274509803921568	0.999999242342388	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 19	2	5.714285714285714	0.08900791993982013	P16157, Q8IWZ3	34	10	3561	20.947058823529414	0.999999842074222	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 17	2	5.714285714285714	0.09747391223551759	P16157, Q8IWZ3	34	11	3561	19.0427807486631	0.9999999670966302	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 18	2	5.714285714285714	0.09747391223551759	P16157, Q8IWZ3	34	11	3561	19.0427807486631	0.9999999670966302	1.0	1.0
