Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000477:RT_dom	8	8.98876404494382	6.355276972851884E-7	P0CT39, Q99315, Q8I7P9, P14381, Q9NBX4, P10401	89	23	3677	14.37029799706888	2.510020139038227E-4	2.510334404276494E-4	2.446781634547975E-4
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	8	8.98876404494382	6.718272288575907E-7	P0CT39, Q99315, Q8I7P9, P14381, Q9NBX4, P10401	87	23	3561	14.23688155922039	2.995901586212435E-4	2.996349440704855E-4	2.962758079261975E-4
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	7	7.865168539325842	4.415603033785164E-6	P0CT39, Q99315, Q8I7P9, Q9NBX4, P10401	61	21	2644	14.44808743169399	2.0751226713133786E-4	2.0753334258790271E-4	1.854553274189769E-4
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	7	7.865168539325842	4.498370484546394E-6	P0CT39, Q99315, Q8I7P9, Q9NBX4, P10401	79	21	3458	14.59071729957806	0.001101496154813919	0.0011021007687138666	0.0011021007687138666
INTERPRO	IPR043502:DNA/RNA_pol_sf	8	8.98876404494382	9.115567086853358E-6	P0CT39, Q99315, Q8I7P9, P14381, Q9NBX4, P10401	89	33	3677	10.015662240381342	0.003594190787990059	0.0017200484353924598	0.0016765029053825242
INTERPRO	IPR041588:Integrase_H2C2	6	6.741573033707865	1.7418212003974277E-5	P0CT39, Q99315, Q8I7P9, P10401	89	15	3677	16.525842696629212	0.006856638906907131	0.0017200484353924598	0.0016765029053825242
INTERPRO	IPR050951:Retrovirus_Pol_polyprotein	6	6.741573033707865	1.7418212003974277E-5	P0CT39, Q99315, Q8I7P9, P10401	89	15	3677	16.525842696629212	0.006856638906907131	0.0017200484353924598	0.0016765029053825242
INTERPRO	IPR021109:Peptidase_aspartic_dom_sf	6	6.741573033707865	3.455724445545855E-5	P0CT39, Q99315, Q8I7P9, P10401	89	17	3677	14.581625908790482	0.01355760390145122	0.0027300223119812255	0.002660907823070308
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	6	6.741573033707865	3.47461961943159E-5	P0CT39, Q99315, Q8I7P9, P10401	61	18	2644	14.44808743169399	0.0016317668117786788	8.165356105664237E-4	7.29670120080634E-4
INTERPRO	IPR001584:Integrase_cat-core	6	6.741573033707865	6.252387955000908E-5	P0CT39, Q99315, Q8I7P9, P10401	89	19	3677	13.046717918391485	0.024395211634243963	0.004116155403708931	0.00401194893779225
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	6	6.741573033707865	6.511469551190083E-5	P0CT39, Q99315, Q8I7P9, P10401	87	19	3561	12.925589836660617	0.02862443105535062	0.014520577099153885	0.014357790360374132
GOTERM_BP_DIRECT	GO:0015074~DNA integration	6	6.741573033707865	9.099810561213E-5	P0CT39, Q99315, Q8I7P9, P10401	85	20	3428	12.098823529411765	0.04430754607520493	0.04531705659484074	0.04531705659484074
INTERPRO	IPR043128:Rev_trsase/Diguanyl_cyclase	6	6.741573033707865	1.0535321229059937E-4	P0CT39, Q99315, Q8I7P9, P10401	89	21	3677	11.804173354735152	0.04076262486064708	0.005944931264969536	0.005794426675982965
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	9	10.112359550561797	1.112877755824178E-4	P0CT39, Q99315, Q8I7P9, A0A3M6TIF0, Q9NBX4, Q8C1B2, P10401	61	68	2644	5.736740597878495	0.0052171596226235906	0.0017435084841245453	0.0015580288581538491
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	6	6.741573033707865	1.256543567851825E-4	P0CT39, Q99315, Q8I7P9, P10401	79	23	3458	11.418822234452396	0.030318150730375804	0.015392658706184857	0.015392658706184857
INTERPRO	IPR041577:RT_RNaseH_2	5	5.617977528089887	1.3098786950904164E-4	P0CT39, Q99315	89	12	3677	17.21441947565543	0.05042769157995497	0.006467526057008931	0.006303791220122629
INTERPRO	IPR001969:Aspartic_peptidase_AS	5	5.617977528089887	1.8575870210936883E-4	P0CT39, Q8I7P9, P10401	89	13	3677	15.890233362143473	0.07075374799765011	0.008152743037022299	0.007946344479123001
UP_KW_BIOLOGICAL_PROCESS	KW-0229~DNA integration	5	5.617977528089887	1.8833325686594236E-4	P0CT39, Q99315	59	12	2187	15.444915254237289	0.009559911393851928	0.009604996100163061	0.009604996100163061
UP_SEQ_FEATURE	ACT_SITE:For protease activity	5	5.617977528089887	2.6394660704412605E-4	P0CT39, Q8I7P9, P10401	87	14	3561	14.61822660098522	0.11106905655322818	0.03924006224722674	0.03880015123548653
UP_SEQ_FEATURE	REPEAT:TPR 7	6	6.741573033707865	4.6365022374724585E-4	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	87	28	3561	8.770935960591132	0.18684696585342253	0.051696999947817915	0.051117437168133856
GOTERM_MF_DIRECT	GO:0004519~endonuclease activity	6	6.741573033707865	7.428247126739205E-4	P0CT39, Q99315, Q8I7P9, P10401	79	33	3458	7.958573072497123	0.16644840925768623	0.060664018201703515	0.060664018201703515
UP_SEQ_FEATURE	REPEAT:TPR 6	6	6.741573033707865	7.571579213583976E-4	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	87	31	3561	7.922135706340377	0.2866765684565207	0.06753848658516907	0.06678132866381067
UP_KW_MOLECULAR_FUNCTION	KW-0239~DNA-directed DNA polymerase	5	5.617977528089887	8.850955769595024E-4	P0CT39, Q99315	61	20	2644	10.83606557377049	0.040763777508477594	0.010399873029274153	0.009293503558074775
SMART	SM00028:TPR	6	6.741573033707865	9.829172176976687E-4	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	50	34	2079	7.33764705882353	0.06192093158595369	0.06388961915034846	0.06388961915034846
GOTERM_MF_DIRECT	GO:0003887~DNA-directed DNA polymerase activity	5	5.617977528089887	0.001071171173751172	P0CT39, Q99315	79	21	3458	10.421940928270043	0.23093331403392625	0.06560923439225928	0.06560923439225928
UP_SEQ_FEATURE	REPEAT:TPR 5	6	6.741573033707865	0.0013408735611194378	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	87	35	3561	7.016748768472906	0.4503265520440449	0.09967160137654488	0.09855420674227867
INTERPRO	IPR024648:Pept_A2E_retrotransp	4	4.49438202247191	0.0014076616400871644	P0CT39	89	10	3677	16.525842696629212	0.4267412330581104	0.05281566524879315	0.05147855979945662
INTERPRO	IPR036397:RNaseH_sf	6	6.741573033707865	0.001470815994270189	P0CT39, Q99315, Q8I7P9, P10401	89	36	3677	6.885767790262172	0.44088493645641313	0.05281566524879315	0.05147855979945662
INTERPRO	IPR019734:TPR_repeat	6	6.741573033707865	0.001886040249111466	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	89	38	3677	6.523358959195742	0.5255928309971716	0.06208215819991908	0.060510457992326204
UP_SEQ_FEATURE	DOMAIN:Peptidase A2	4	4.49438202247191	0.0019508201435827206	P0CT39	87	11	3561	14.884012539184953	0.5814318506273888	0.10919517394127122	0.10797101279843185
UP_SEQ_FEATURE	REPEAT:TPR 4	6	6.741573033707865	0.0019586578285429816	P81436, P0CI65, Q7ZU45, Q96AY4, Q80XJ3, P50542	87	38	3561	6.462794918330308	0.5828953019329086	0.10919517394127122	0.10797101279843185
INTERPRO	IPR012337:RNaseH-like_sf	6	6.741573033707865	0.00266159689282491	P0CT39, Q99315, Q8I7P9, P10401	89	41	3677	6.046040010961907	0.6510171050438521	0.08087159789737226	0.07882421567212233
