readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	34909	81320
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	11866	28167
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	12517	52232
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	13323	30324
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	14413	34419
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	236403	848014
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	12466	37651
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	3814	10022
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	4029	13149
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	4688	12628
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	6023	14237
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	132902	759043
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	13372	27248
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	3791	7793
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	3826	8554
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	4248	8126
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	4789	9852
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	105187	275848
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	23341	205353
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	7355	44169
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	6801	40457
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	6869	42486
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	6959	40225
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	64244	1509693
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	43861	106159
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	19039	48176
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	20268	48852
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	20866	47584
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	21709	57209
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A10-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	225351	1502503
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	24448	109791
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	8698	37981
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	8933	87642
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	9611	41146
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	10910	52986
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	374646	1797891
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	14322	40589
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	4537	15945
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	4782	14123
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	5633	16692
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	7512	22741
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	225042	1341101
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	11014	18578
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	3477	5842
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	3096	6319
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	3292	7228
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	4053	7763
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	143739	461704
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	21840	96534
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	6765	27787
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	4940	22296
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	4798	19462
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	4831	20599
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	59555	477493
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	26677	71651
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	12684	36700
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	14000	62625
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/D-Apul/output/04-Apul-sRNA-discovery-ShortStack/ShortStack_out/1A12-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	12400	38830
