1A10_ACR-145_TP4	1A12_ACR-237_TP3	1A1_ACR-173_TP1	1A2_ACR-244_TP4	1A8_ACR-186_TP2	1A9_ACR-244_TP2	1B10_ACR-150_TP4	1B1_ACR-225_TP3	1B2_ACR-173_TP3	1B5_ACR-229_TP1	1B9_ACR-265_TP4	1C10_ACR-173_TP4	1C4_ACR-139_TP4	1D10_ACR-265_TP2	1D3_ACR-225_TP4	1D4_ACR-237_TP4	1D6_ACR-229_TP2	1D8_ACR-237_TP2	1D9_ACR-229_TP4	1E3_ACR-150_TP2	1E5_ACR-139_TP3	1E9_ACR-237_TP1	1F11_ACR-173_TP2	1F4_ACR-150_TP3	1F8_ACR-145_TP3	1G5_ACR-244_TP3	1H11_ACR-225_TP1	1H12_ACR-186_TP3	1H6_ACR-225_TP2	1H7_ACR-229_TP3	1H8_ACR-186_TP4	2B2_ACR-145_TP1	2B3_ACR-139_TP2	2C1_ACR-244_TP1	2C2_ACR-139_TP1	2D2_ACR-150_TP1	2E2_ACR-186_TP1	2F1_ACR-265_TP1	2G1_ACR-145_TP2
Cluster_1819	37	35	102	77	84	340	14	19	36	204	25	18	10	96	66	41	195	81	66	177	2	19	88	56	23	95	18	33	47	50	28	44	68	57	50	22	24	16	62
Cluster_1832	325	435	1826	947	1238	2174	219	580	547	3544	223	235	211	618	2897	978	2836	645	1098	1326	45	288	1527	757	214	2749	610	439	1714	805	873	232	1769	788	1115	144	211	171	1032
Cluster_1833	16	52	40	30	6	0	6	27	30	145	6	3	13	0	82	94	30	57	12	0	0	19	24	12	7	0	20	11	38	11	42	0	18	53	24	4	0	0	27
Cluster_1836	1071	2048	2334	6240	8001	11364	1614	2024	1577	5523	1993	885	1073	2737	14727	10196	8094	4832	4571	5111	747	1425	4717	3174	1026	4302	1059	1636	6727	2155	1625	1266	5844	2033	2926	1267	1729	656	8817
Cluster_1865	103	299	203	491	108	1203	86	119	137	753	114	56	74	503	652	337	536	345	253	669	16	130	174	454	53	1140	157	38	602	217	87	139	204	344	380	94	7	34	324
Cluster_1950	121	179	413	421	224	689	201	297	249	1345	130	79	51	400	1100	269	1043	206	460	646	18	223	247	280	101	707	384	147	666	360	421	290	657	370	450	127	63	67	255
Cluster_1951	168	278	186	389	464	172	401	1085	183	617	396	136	0	275	113	413	288	304	0	790	61	324	510	0	133	375	421	0	347	379	174	100	890	893	319	0	150	101	866
Cluster_2372	414	2419	1435	1321	2368	5898	621	721	541	5320	344	200	287	2065	3790	2851	6298	3532	2188	2927	151	1019	2135	3537	356	2171	805	694	2125	1514	915	617	3801	684	1784	344	279	236	4379
Cluster_2500	36	98	38	65	33	246	35	3	42	24	7	7	2	38	10	54	47	84	18	224	0	40	96	65	14	77	3	3	20	6	8	37	11	52	7	17	0	10	196
Cluster_2746	182	257	895	413	407	639	250	247	388	519	148	171	121	716	1040	420	797	502	299	1070	30	341	701	652	110	658	200	125	868	442	173	236	601	256	505	125	101	85	478
