combined_index,label,species,sample_id
0,apul_ACR.100,apul,ACR.100
1,apul_ACR.101,apul,ACR.101
2,apul_ACR.102,apul,ACR.102
3,apul_ACR.103,apul,ACR.103
4,apul_ACR.104,apul,ACR.104
5,apul_ACR.105,apul,ACR.105
6,apul_ACR.106,apul,ACR.106
7,apul_ACR.107,apul,ACR.107
8,apul_ACR.108,apul,ACR.108
9,apul_ACR.109,apul,ACR.109
10,peve_POR.110,peve,POR.110
11,peve_POR.111,peve,POR.111
12,peve_POR.112,peve,POR.112
13,peve_POR.113,peve,POR.113
14,peve_POR.114,peve,POR.114
15,peve_POR.115,peve,POR.115
16,peve_POR.116,peve,POR.116
17,peve_POR.117,peve,POR.117
18,peve_POR.118,peve,POR.118
19,peve_POR.119,peve,POR.119
20,ptua_POC.120,ptua,POC.120
21,ptua_POC.121,ptua,POC.121
22,ptua_POC.122,ptua,POC.122
23,ptua_POC.123,ptua,POC.123
24,ptua_POC.124,ptua,POC.124
25,ptua_POC.125,ptua,POC.125
26,ptua_POC.126,ptua,POC.126
27,ptua_POC.127,ptua,POC.127
28,ptua_POC.128,ptua,POC.128
29,ptua_POC.129,ptua,POC.129
