term,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,total
positive regulation of transcription by RNA polymerase II [GO:0045944],14,33,40,16,21,35,9,13,8,4,0,0,3,0,4,200
negative regulation of transcription by RNA polymerase II [GO:0000122],16,36,25,16,17,23,15,13,7,0,0,0,3,0,2,173
regulation of transcription by RNA polymerase II [GO:0006357],22,28,28,18,14,27,0,0,0,0,3,0,0,0,3,143
positive regulation of DNA-templated transcription [GO:0045893],14,26,29,14,0,22,0,0,5,0,0,0,3,0,0,113
proteolysis [GO:0006508],0,35,19,20,15,0,0,16,0,0,2,0,0,3,0,110
protein transport [GO:0015031],9,33,0,21,0,17,12,12,0,0,0,0,0,0,0,104
cell division [GO:0051301],0,45,0,0,0,17,14,10,0,0,0,0,0,0,0,86
apoptotic process [GO:0006915],11,0,15,12,16,17,9,0,0,0,0,0,3,0,0,83
protein ubiquitination [GO:0016567],9,0,28,0,15,0,10,9,0,0,0,0,0,0,0,71
cilium assembly [GO:0060271],11,34,0,18,0,0,0,0,6,0,0,0,0,0,0,69
signal transduction [GO:0007165],12,0,0,14,14,16,0,0,0,5,0,2,0,0,0,63
intracellular signal transduction [GO:0035556],0,0,18,0,0,16,0,11,0,0,0,0,0,0,4,49
DNA repair [GO:0006281],0,33,0,0,0,0,11,0,0,0,0,0,0,0,0,44
negative regulation of DNA-templated transcription [GO:0045892],9,0,0,0,14,0,8,0,5,0,0,0,0,0,0,36
DNA damage response [GO:0006974],0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,32
negative regulation of apoptotic process [GO:0043066],0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,27
cell differentiation [GO:0030154],0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,26
positive regulation of gene expression [GO:0010628],0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
protein stabilization [GO:0050821],0,0,0,0,0,0,9,0,6,2,0,0,0,0,0,17
spermatogenesis [GO:0007283],0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,16
G protein-coupled receptor signaling pathway [GO:0007186],0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
neurogenesis [GO:0022008],0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
cell population proliferation [GO:0008283],0,0,0,0,0,0,0,9,0,0,0,0,2,0,2,13
negative regulation of cell population proliferation [GO:0008285],0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11
inflammatory response [GO:0006954],0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11
"mRNA splicing, via spliceosome [GO:0000398]",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
RNA splicing [GO:0008380],0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
mRNA processing [GO:0006397],0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,8
chromatin remodeling [GO:0006338],0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,8
protein folding [GO:0006457],0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4
flagellated sperm motility [GO:0030317],0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
translation [GO:0006412],0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
positive regulation of cell population proliferation [GO:0008284],0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
sperm axoneme assembly [GO:0007288],0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
epithelial cilium movement involved in extracellular fluid movement [GO:0003351],0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
positive regulation of MAPK cascade [GO:0043410],0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
rhythmic process [GO:0048511],0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
chordate embryonic development [GO:0043009],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
intracellular protein transport [GO:0006886],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
gluconeogenesis [GO:0006094],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
malate metabolic process [GO:0006108],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
malate-aspartate shuttle [GO:0043490],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
tricarboxylic acid cycle [GO:0006099],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
angiogenesis [GO:0001525],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
negative regulation of cell differentiation [GO:0045596],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
spermatid development [GO:0007286],0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
protein localization [GO:0008104],0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
