term,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,total
ATP binding [GO:0005524],41,115,73,61,64,68,35,46,15,5,0,4,6,0,3,536
zinc ion binding [GO:0008270],42,89,61,34,54,57,32,29,13,0,0,0,5,3,4,423
metal ion binding [GO:0046872],29,99,60,46,40,41,36,32,9,3,4,1,0,3,0,403
identical protein binding [GO:0042802],17,94,51,43,44,33,30,29,7,4,0,0,4,0,0,356
RNA binding [GO:0003723],15,68,0,18,23,24,19,0,24,7,3,0,3,0,0,204
protein homodimerization activity [GO:0042803],13,47,24,15,27,24,19,17,0,0,2,0,2,0,0,190
calcium ion binding [GO:0005509],0,36,28,22,32,38,15,13,0,3,0,0,0,0,0,187
DNA binding [GO:0003677],16,46,0,0,17,18,15,0,9,3,0,0,0,0,3,127
protein serine kinase activity [GO:0106310],0,0,27,22,23,25,0,14,0,0,0,1,0,0,3,115
protein serine/threonine kinase activity [GO:0004674],0,0,22,17,22,22,0,15,0,0,0,1,0,0,3,102
ATP hydrolysis activity [GO:0016887],0,34,0,19,0,0,0,10,6,3,0,0,0,0,0,72
"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",22,0,31,0,0,0,0,0,0,0,0,0,0,0,2,55
chromatin binding [GO:0003682],12,33,0,0,0,0,0,0,6,0,2,0,2,0,0,55
RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978],17,0,29,0,0,0,0,0,0,0,0,0,0,0,0,46
GTP binding [GO:0005525],0,0,0,0,0,0,13,0,7,3,0,0,0,0,0,23
protein kinase activity [GO:0004672],0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12
protein heterodimerization activity [GO:0046982],0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
GTPase activity [GO:0003924],0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9
ribosome binding [GO:0043022],0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
magnesium ion binding [GO:0000287],0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
protein kinase binding [GO:0019901],0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
sequence-specific DNA binding [GO:0043565],0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
structural constituent of ribosome [GO:0003735],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
transcription coactivator activity [GO:0003713],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
metalloaminopeptidase activity [GO:0070006],0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
alpha-tubulin binding [GO:0043014],0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
SH2 domain binding [GO:0042169],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
signaling receptor binding [GO:0005102],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ubiquitin protein ligase binding [GO:0031625],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
GTPase activator activity [GO:0005096],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
metalloendopeptidase activity [GO:0004222],0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
DNA-binding transcription factor activity [GO:0003700],0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
RNA polymerase II C-terminal domain binding [GO:0099122],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
aminopeptidase activity [GO:0004177],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
initiator methionyl aminopeptidase activity [GO:0004239],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
p53 binding [GO:0002039],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
protein kinase activator activity [GO:0030295],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
riboflavin kinase activity [GO:0008531],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
metallocarboxypeptidase activity [GO:0004181],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
tachykinin receptor activity [GO:0004995],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
glutamyl aminopeptidase activity [GO:0004230],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
peptide binding [GO:0042277],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
calcium channel activity [GO:0005262],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
glutamate binding [GO:0016595],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
