term,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,total
cytoplasm [GO:0005737],95,318,182,136,117,132,83,84,34,16,5,8,10,1,6,1227
nucleus [GO:0005634],79,318,133,114,116,121,106,71,40,18,10,6,7,0,9,1148
cytosol [GO:0005829],70,277,138,95,113,116,91,77,31,21,0,10,12,0,6,1057
plasma membrane [GO:0005886],48,160,130,97,123,132,51,70,0,6,2,0,8,4,2,833
nucleoplasm [GO:0005654],49,194,72,67,60,75,59,39,31,4,4,2,4,0,4,664
membrane [GO:0016020],26,103,84,43,78,73,36,49,8,0,4,4,5,2,0,515
mitochondrion [GO:0005739],24,123,38,44,35,40,42,0,0,0,7,3,3,0,0,359
endoplasmic reticulum membrane [GO:0005789],18,73,42,27,0,42,26,37,0,5,0,0,0,0,2,272
endoplasmic reticulum [GO:0005783],0,0,41,27,33,44,30,27,0,0,3,0,0,0,0,205
centrosome [GO:0005813],0,70,0,28,0,0,0,0,8,0,0,0,0,0,0,106
Golgi apparatus [GO:0005794],0,0,34,0,0,37,0,28,0,0,0,0,3,0,0,102
nucleolus [GO:0005730],0,64,0,0,0,0,0,0,8,4,0,0,0,0,0,76
extracellular region [GO:0005576],0,0,0,0,29,0,0,0,0,0,0,5,0,0,0,34
glutamatergic synapse [GO:0098978],0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25
Golgi membrane [GO:0000139],0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,25
extracellular exosome [GO:0070062],0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20
extracellular space [GO:0005615],16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18
chromatin [GO:0000785],17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
nuclear speck [GO:0016607],0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
perinuclear region of cytoplasm [GO:0048471],0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,10
cilium [GO:0005929],0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8
spliceosomal complex [GO:0005681],0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
ribonucleoprotein complex [GO:1990904],0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5
axoneme [GO:0005930],0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
protein-containing complex [GO:0032991],0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
mitochondrial matrix [GO:0005759],0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
mitochondrial inner membrane [GO:0005743],0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
sperm flagellum [GO:0036126],0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
cytosolic large ribosomal subunit [GO:0022625],0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
microtubule [GO:0005874],0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
receptor complex [GO:0043235],0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
transport vesicle membrane [GO:0030658],0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
cell-cell junction [GO:0005911],0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
dendrite membrane [GO:0032590],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
neuronal cell body membrane [GO:0032809],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
sperm midpiece [GO:0097225],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
trans-Golgi network [GO:0005802],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P-body [GO:0000932],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
