"Name"	"ACR.145.TP4"	"ACR.237.TP3"	"ACR.173.TP1"	"ACR.244.TP4"	"ACR.186.TP2"	"ACR.244.TP2"	"ACR.150.TP4"	"ACR.225.TP3"	"ACR.173.TP3"	"ACR.229.TP1"	"ACR.265.TP4"	"ACR.173.TP4"	"ACR.139.TP4"	"ACR.265.TP2"	"ACR.225.TP4"	"ACR.237.TP4"	"ACR.229.TP2"	"ACR.237.TP2"	"ACR.229.TP4"	"ACR.265.TP3"	"ACR.150.TP2"	"ACR.139.TP3"	"ACR.237.TP1"	"ACR.173.TP2"	"ACR.150.TP3"	"ACR.145.TP3"	"ACR.244.TP3"	"ACR.225.TP1"	"ACR.186.TP3"	"ACR.225.TP2"	"ACR.229.TP3"	"ACR.186.TP4"	"ACR.145.TP1"	"ACR.139.TP2"	"ACR.244.TP1"	"ACR.139.TP1"	"ACR.150.TP1"	"ACR.186.TP1"	"ACR.265.TP1"	"ACR.145.TP2"
"Cluster_1819"	"  103"	"    23"	"     1"	"   421"	"  145"	"     1"	"  393"	"   28"	"   42"	"    71"	" 1358"	"  136"	" 170"	"  789"	"  2271"	"   951"	"  9824"	"    3"	"   288"	"   75"	"165545"	"   1"	"    0"	"    0"	"     1"	"    7"	"     3"	"   18"	"   17"	"   121"	"  251"	"  174"	" 1177"	"    50"	"   52"	"    0"	"    0"	" 4033"	"  236"	"     1"
"Cluster_1832"	"  103"	"   211"	"   328"	"  4687"	"  181"	"     1"	"  549"	"  134"	"   16"	"    48"	"  155"	"  402"	" 718"	"  503"	"  4900"	"  1027"	"   476"	"  688"	"    44"	"  253"	"  2334"	"   1"	" 5052"	"  174"	" 40538"	"   53"	"   738"	"    9"	"   11"	"     1"	"   12"	"    2"	"  100"	"     2"	"  788"	"   54"	" 1953"	"    3"	"27426"	"   777"
"Cluster_1833"	"   16"	"  1033"	"   955"	"  2014"	"  681"	"     3"	"    0"	"    7"	"  541"	"   433"	"  533"	" 3373"	"1893"	"   10"	"   939"	"   694"	"  8094"	"  491"	"   460"	"    0"	"    23"	" 459"	"  504"	"  678"	"     2"	" 1035"	"     4"	" 5626"	" 2451"	"     1"	"    0"	"  361"	"    8"	"    18"	" 6144"	" 3620"	"  344"	"    7"	" 2308"	"    57"
"Cluster_1836"	"   14"	"    23"	"    94"	"     1"	" 1602"	"  5898"	" 1358"	" 1085"	"61754"	"    48"	"    6"	"    4"	"  14"	" 2273"	"   245"	" 15172"	"   882"	"  746"	"  2155"	"   12"	"    51"	"  15"	"  790"	"  479"	"     0"	"    2"	"  1140"	"  558"	"   59"	"   522"	"  251"	"   54"	" 2824"	"  8945"	"   24"	"  196"	"    4"	" 1464"	"    0"	"    28"
"Cluster_1865"	"   36"	"     0"	"   895"	"   189"	"  686"	"    83"	" 3932"	"  990"	"    7"	"   204"	"   32"	"   81"	" 121"	"   47"	"   605"	"  5795"	" 10826"	"  427"	"   888"	"  201"	"   259"	"  95"	"  300"	"  515"	"    13"	"  160"	"   132"	"  156"	"   33"	"  1043"	"82366"	"  611"	"  139"	"   714"	" 6144"	"   24"	"   28"	"   82"	"   43"	"  4489"
"Cluster_1950"	"    1"	"  2048"	"   568"	" 11708"	"27975"	"    69"	"   86"	"    1"	"    5"	"     1"	"   59"	"   26"	"1511"	"  149"	"   651"	"    46"	"  4929"	"    2"	"   232"	"    9"	"     0"	"  47"	"    1"	" 6760"	"     2"	"   29"	"    89"	" 5750"	"  116"	"   602"	"    0"	" 3227"	"  171"	"  8945"	"  893"	"   36"	"  159"	"   60"	"    6"	"    57"
"Cluster_1951"	"   15"	"   521"	"    86"	" 11708"	"    5"	"   153"	"   63"	"  349"	"  547"	"   649"	"   17"	"   79"	"   0"	"  848"	"    66"	"     1"	"112301"	" 1284"	"  2228"	"   75"	"   137"	"   9"	"  235"	"   21"	"    48"	"  343"	"   308"	" 5626"	" 2432"	"    82"	"  442"	"   54"	" 1266"	"     1"	"  102"	"   36"	"  144"	" 1179"	"   85"	"  4379"
"Cluster_2372"	"    0"	"     0"	"  1341"	"  1393"	"    9"	"  2174"	" 1614"	"48564"	"  388"	"    10"	"   59"	"    7"	"   2"	"   23"	"  4900"	"   951"	"  8094"	"  345"	"     0"	"  347"	"  7562"	"   0"	"   28"	" 5917"	"131025"	"   34"	"   445"	"    7"	"  487"	"     1"	"  805"	"    1"	"   37"	"     1"	"   24"	"   54"	"   34"	"    2"	"  397"	"   196"
"Cluster_2500"	"    0"	"     0"	"  1435"	"   947"	"27975"	"   424"	"    1"	"  836"	" 5750"	"  5320"	"    0"	"  235"	" 650"	"  237"	"    31"	"    70"	"   126"	"    2"	"    33"	"  347"	"  1324"	"  95"	"  504"	"61561"	"131025"	"  195"	" 16659"	"  361"	"  122"	"   732"	"    1"	"  173"	" 1266"	"   847"	"    1"	"  306"	"    0"	"   35"	"    8"	"    28"
"Cluster_2746"	"  215"	"    98"	"   409"	" 11708"	"27975"	"    12"	"   37"	" 1964"	" 2005"	"     1"	"    0"	"25021"	"  19"	"    0"	"     0"	"     1"	"  4583"	"    8"	"    33"	"  261"	"   669"	" 459"	"  264"	"  378"	"    65"	"  175"	"     0"	"    3"	"   29"	"   320"	"  587"	"  907"	"   29"	"   276"	"    1"	"  196"	"  167"	" 1464"	"   67"	"   107"
