Sample #,,,,,,General Information,,,,Amount of Material,,,Miscellaneous,,QC Method Used By Customer,,,Special Comments
,Sample Name*,Plate,Well number,Azenta sample name,Colony ID,Timepoint,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount (ng)*,Volume (µL),Conc (ng/µL),Purification Method*,Biosafety Level (BSL),Method Used for Fluorescence,Method Used for Spectrophotometry,Method Used for Electrophoresis,
1,41,1,G4,1G4,ACR-225,TP1,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),2064,80,25.8,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
2,291-20220211,2,A3,2A3,ACR-225,TP2,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),5064,80,63.3,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
3,527,1,H5,1H5,ACR-225,TP3,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),4232,80,52.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
4,911,1,C6,1C6,ACR-225,TP4,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),4488,80,56.1,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
5,55,1,B2,1B2,ACR-229,TP1,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),2432,80,30.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
6,295,1,E3,1E3,ACR-229,TP2,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),2760,80,34.5,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
7,531,1,H3,1H3,ACR-229,TP3,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),5752,80,71.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
8,931,1,F7,1F7,ACR-229,TP4,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),6008,80,75.1,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
9,49,1,A1,1A1,ACR-237,TP1,Genomic DNA,Acropora pulchra,Tris buffer (8.0 pH),1456,80,18.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel,"Please keep methylation libraries, as we may want to sequence more"
