go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
proteolysis,94,11,35,83,88.29787234042553,8.545454545454545
positive regulation of transcription by RNA polymerase II,91,10,33,81,89.01098901098901,9.1
innate immune response,88,5,35,83,94.31818181818183,17.6
positive regulation of gene expression,86,10,33,76,88.37209302325581,8.6
defense response to Gram-negative bacterium,81,5,35,76,93.82716049382715,16.2
signal transduction,79,6,35,73,92.40506329113924,13.166666666666666
adenylate cyclase-activating G protein-coupled receptor signaling pathway,71,4,35,67,94.36619718309859,17.75
visual perception,68,6,35,62,91.17647058823529,11.333333333333334
gene expression,67,6,32,61,91.04477611940298,11.166666666666666
cell surface receptor signaling pathway,66,3,35,63,95.45454545454545,22
negative regulation of transcription by RNA polymerase II,66,9,34,57,86.36363636363636,7.333333333333333
negative regulation of apoptotic process,62,7,32,55,88.70967741935483,8.857142857142858
positive regulation of reactive oxygen species biosynthetic process,58,2,35,56,96.55172413793103,29
response to lipopolysaccharide,57,4,28,53,92.98245614035088,14.25
response to bacterium,56,4,29,52,92.85714285714286,14
cell adhesion,53,6,35,47,88.67924528301887,8.833333333333334
cilium assembly,51,8,31,43,84.31372549019608,6.375
flagellated sperm motility,49,7,35,42,85.71428571428571,7
regulation of transcription by RNA polymerase II,48,10,24,38,79.16666666666666,4.8
toll-like receptor signaling pathway,48,2,30,46,95.83333333333334,24
basement membrane organization,46,4,27,42,91.30434782608695,11.5
cell division,45,8,30,37,82.22222222222221,5.625
mRNA processing,44,6,27,38,86.36363636363636,7.333333333333333
negative regulation of tumor necrosis factor production,44,2,28,42,95.45454545454545,22
actin cytoskeleton organization,42,3,27,39,92.85714285714286,14
negative regulation of cell population proliferation,41,4,35,37,90.2439024390244,10.25
negative regulation of transforming growth factor beta receptor signaling pathway,41,3,34,38,92.6829268292683,13.666666666666666
muscle organ development,40,3,35,37,92.5,13.333333333333334
in utero embryonic development,39,6,27,33,84.61538461538461,6.5
negative regulation of angiogenesis,39,2,35,37,94.87179487179486,19.5
negative regulation of protein ubiquitination,39,2,35,37,94.87179487179486,19.5
positive regulation of interleukin-6 production,39,2,25,37,94.87179487179486,19.5
protein-containing complex assembly,37,3,26,34,91.8918918918919,12.333333333333334
G protein-coupled receptor signaling pathway,36,2,35,34,94.44444444444444,18
axonogenesis,36,2,35,34,94.44444444444444,18
positive regulation of synapse assembly,36,2,35,34,94.44444444444444,18
apoptotic cell clearance,35,1,35,34,97.14285714285714,35
engulfment of apoptotic cell,35,1,35,34,97.14285714285714,35
negative regulation of BMP signaling pathway,35,2,34,33,94.28571428571428,17.5
negative regulation of endothelial cell migration,35,1,35,34,97.14285714285714,35
negative regulation of protein catabolic process,35,1,35,34,97.14285714285714,35
peripheral nervous system development,35,1,35,34,97.14285714285714,35
"phagocytosis, recognition",35,1,35,34,97.14285714285714,35
phospholipase C-activating G protein-coupled receptor signaling pathway,35,2,32,33,94.28571428571428,17.5
positive regulation of myoblast fusion,35,1,35,34,97.14285714285714,35
regulation of synaptic plasticity,35,1,35,34,97.14285714285714,35
retinoid metabolic process,35,1,35,34,97.14285714285714,35
retinol metabolic process,35,1,35,34,97.14285714285714,35
steroid metabolic process,35,1,35,34,97.14285714285714,35
negative regulation of activin receptor signaling pathway,34,1,34,33,97.05882352941177,34
heart trabecula formation,33,2,27,31,93.93939393939394,16.5
positive regulation of acrosome reaction,33,2,31,31,93.93939393939394,16.5
protein transport,33,5,24,28,84.84848484848484,6.6
triglyceride catabolic process,33,2,31,31,93.93939393939394,16.5
Notch signaling pathway,32,4,27,28,87.5,8
defense response to bacterium,32,2,26,30,93.75,16
epithelial cell proliferation,32,3,27,29,90.625,10.666666666666666
intracellular signal transduction,32,3,27,29,90.625,10.666666666666666
positive regulation of inflammatory response,32,2,24,30,93.75,16
positive regulation of interleukin-1 beta production,32,2,24,30,93.75,16
diacylglycerol catabolic process,31,1,31,30,96.7741935483871,31
phosphatidylcholine catabolic process,31,1,31,30,96.7741935483871,31
phosphatidylethanolamine catabolic process,31,1,31,30,96.7741935483871,31
phosphatidylglycerol catabolic process,31,1,31,30,96.7741935483871,31
protein ubiquitination,31,2,28,29,93.54838709677419,15.5
regulation of cilium beat frequency involved in ciliary motility,31,2,29,29,93.54838709677419,15.5
spermatogenesis,31,5,27,26,83.87096774193549,6.2
negative regulation of cardiac muscle cell apoptotic process,30,2,27,28,93.33333333333333,15
DNA repair,29,4,24,25,86.20689655172413,7.25
blastocyst development,29,2,23,27,93.10344827586206,14.5
cell differentiation,29,5,22,24,82.75862068965517,5.8
circadian behavior,29,1,29,28,96.55172413793103,29
columnar/cuboidal epithelial cell differentiation,29,2,23,27,93.10344827586206,14.5
