term,total_count,n_components
innate immune response,80,27
proteolysis,79,25
positive regulation of gene expression,78,27
defense response to Gram-negative bacterium,76,30
positive regulation of transcription by RNA polymerase II,76,21
adenylate cyclase-activating G protein-coupled receptor signaling pathway,69,33
cell surface receptor signaling pathway,59,29
gene expression,59,25
signal transduction,59,21
negative regulation of transcription by RNA polymerase II,47,18
negative regulation of apoptotic process,46,19
basement membrane organization,36,17
cilium assembly,36,16
actin cytoskeleton organization,31,16
cell adhesion,29,11
response to bacterium,28,11
response to lipopolysaccharide,28,11
regulation of transcription by RNA polymerase II,28,9
flagellated sperm motility,26,12
mRNA processing,25,11
cell division,24,9
positive regulation of reactive oxygen species biosynthetic process,24,12
visual perception,22,9
negative regulation of tumor necrosis factor production,20,10
in utero embryonic development,18,8
DNA repair,15,10
Notch signaling pathway,13,8
cell differentiation,13,6
blastocyst development,12,6
defense response to bacterium,12,6
