go_term,group_id,n_components,components
actin cytoskeleton organization,OG_01645,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
actin cytoskeleton organization,OG_08222,15,"comp1, comp11, comp13, comp15, comp16, comp2, comp22, comp25, comp27, comp3, comp31, comp4, comp6, comp7, comp8"
adenylate cyclase-activating G protein-coupled receptor signaling pathway,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
adenylate cyclase-activating G protein-coupled receptor signaling pathway,OG_02927,29,"comp1, comp10, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp30, comp31, comp32, comp33, comp34, comp4, comp6, comp7, comp8, comp9"
adenylate cyclase-activating G protein-coupled receptor signaling pathway,OG_07351,6,"comp12, comp16, comp17, comp3, comp30, comp34"
basement membrane organization,OG_01645,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
basement membrane organization,OG_02338,15,"comp11, comp13, comp15, comp16, comp2, comp20, comp21, comp28, comp30, comp34, comp4, comp6, comp7, comp8, comp9"
basement membrane organization,OG_03906,4,"comp16, comp17, comp22, comp34"
cell adhesion,OG_02537,35,"comp1, comp10, comp11, comp12, comp13, comp14, comp15, comp16, comp17, comp18, comp19, comp2, comp20, comp21, comp22, comp23, comp24, comp25, comp26, comp27, comp28, comp29, comp3, comp30, comp31, comp32, comp33, comp34, comp35, comp4, comp5, comp6, comp7, comp8, comp9"
cell adhesion,OG_08313,7,"comp11, comp15, comp16, comp2, comp22, comp28, comp4"
cell adhesion,OG_04601,6,"comp11, comp15, comp16, comp2, comp22, comp4"
cell adhesion,OG_06280,2,"comp29, comp35"
cell adhesion,OG_09347,2,"comp17, comp30"
cell division,OG_01645,26,"comp1, comp11, comp13, comp14, comp15, comp16, comp18, comp2, comp20, comp21, comp22, comp24, comp25, comp26, comp27, comp28, comp3, comp30, comp31, comp32, comp34, comp4, comp6, comp7, comp8, comp9"
cell division,OG_08313,7,"comp11, comp15, comp16, comp2, comp22, comp28, comp4"
cell division,OG_04601,6,"comp11, comp15, comp16, comp2, comp22, comp4"
cell division,OG_07762,2,"comp12, comp17"
