"goslim_id","goslim_name","count","mean_loading"
"GO:0048856","anatomical structure development",63,2.73510881504481
"GO:0006355","regulation of DNA-templated transcription",44,2.76049771472294
"GO:0030154","cell differentiation",36,2.72967620006703
"GO:0006629","lipid metabolic process",22,2.64922312107412
"GO:0022414","reproductive process",20,2.69415851348903
"GO:0048870","cell motility",19,2.57656130486598
"GO:0002376","immune system process",16,2.66626823908969
"GO:0007010","cytoskeleton organization",15,2.56119090321337
"GO:0007155","cell adhesion",14,2.59852739257452
"GO:0006281","DNA repair",13,2.46660937384663
"GO:0050877","nervous system process",12,2.8147909229991
"GO:0055085","transmembrane transport",12,2.4208573894716
"GO:0016192","vesicle-mediated transport",11,2.3299243610966
"GO:0030163","protein catabolic process",11,2.63193698620444
"GO:0034330","cell junction organization",11,2.28924556166062
"GO:0006325","chromatin organization",10,2.50991011694465
"GO:0012501","programmed cell death",10,2.66107350843443
"GO:0055086","nucleobase-containing small molecule metabolic process",10,2.48918125600615
"GO:0065003","protein-containing complex assembly",10,2.4573967619372
"GO:0006260","DNA replication",8,2.45537330244107
"GO:0030198","extracellular matrix organization",8,3.30983837039435
"GO:0061024","membrane organization",8,2.5628556311612
"GO:0006886","intracellular protein transport",6,2.25959715295386
"GO:0023052","signaling",6,2.38390265016951
"GO:0006310","DNA recombination",5,2.5054731411184
"GO:0007163","establishment or maintenance of cell polarity",5,2.2963438507236
"GO:0016071","mRNA metabolic process",5,2.34079979143659
"GO:0044782","cilium organization",5,2.59633086844526
"GO:0051604","protein maturation",5,2.63376646430372
"GO:0003013","circulatory system process",4,2.93528573447194
"GO:0006575","modified amino acid metabolic process",4,2.37681861491792
"GO:0006914","autophagy",4,2.77215416380852
"GO:0007018","microtubule-based movement",4,3.00912504512062
"GO:0007040","lysosome organization",4,2.75047131898014
"GO:0009101","glycoprotein biosynthetic process",4,2.5532172094054
"GO:0003014","renal system process",3,2.34289726524811
"GO:0005975","carbohydrate metabolic process",3,2.30877621633257
"GO:0006351","DNA-templated transcription",3,2.75049033817554
"GO:0006520","amino acid metabolic process",3,2.3488957597384
"GO:0006790","sulfur compound metabolic process",3,2.33545851246896
"GO:0006913","nucleocytoplasmic transport",3,2.35099788341684
"GO:0006954","inflammatory response",3,2.48079014184014
"GO:0007059","chromosome segregation",3,2.73162693178756
"GO:0032200","telomere organization",3,2.98229641827964
"GO:0098542","defense response to other organism",3,2.69545936684144
"GO:0000278","mitotic cell cycle",2,2.47670774126047
"GO:0006486","protein glycosylation",2,2.42432743322458
"GO:0042060","wound healing",2,2.3274752701148
"GO:0072659","protein localization to plasma membrane",2,2.68714629877812
"GO:0000910","cytokinesis",1,3.17386316296547
"GO:0006091","generation of precursor metabolites and energy",1,2.15310315392638
"GO:0007005","mitochondrion organization",1,2.39054649690409
"GO:0031047","regulatory ncRNA-mediated gene silencing",1,2.26601920760838
"GO:0098754","detoxification",1,2.33719113899579
"GO:0140013","meiotic nuclear division",1,2.34266781605992
