"goslim_id","goslim_name","count","mean_loading","percentage"
"GO:0048856","anatomical structure development",62,4.04565449052865,12.375249500998
"GO:0006355","regulation of DNA-templated transcription",44,4.03789935895367,8.78243512974052
"GO:0030154","cell differentiation",36,4.02996714601034,7.18562874251497
"GO:0006629","lipid metabolic process",22,3.94769448993774,4.39121756487026
"GO:0022414","reproductive process",21,3.91918816799164,4.19161676646707
"GO:0048870","cell motility",19,3.79185743237659,3.79241516966068
"GO:0002376","immune system process",17,3.85481253954983,3.39321357285429
"GO:0006281","DNA repair",14,3.67549415272149,2.79441117764471
"GO:0055085","transmembrane transport",14,3.61750426724505,2.79441117764471
"GO:0007010","cytoskeleton organization",13,3.90884819835345,2.59481037924152
"GO:0007155","cell adhesion",13,3.88098715077146,2.59481037924152
"GO:0016192","vesicle-mediated transport",12,3.44440486605619,2.39520958083832
"GO:0050877","nervous system process",12,4.21268491354258,2.39520958083832
"GO:0030163","protein catabolic process",11,3.8776608683118,2.19560878243513
"GO:0034330","cell junction organization",11,3.42087879035338,2.19560878243513
"GO:0065003","protein-containing complex assembly",11,3.66716097007698,2.19560878243513
"GO:0006325","chromatin organization",10,3.76377513560445,1.99600798403194
"GO:0012501","programmed cell death",10,3.96044183457602,1.99600798403194
"GO:0055086","nucleobase-containing small molecule metabolic process",10,3.74294663330119,1.99600798403194
"GO:0030198","extracellular matrix organization",9,4.67271499081928,1.79640718562874
"GO:0061024","membrane organization",9,3.75737493455527,1.79640718562874
"GO:0006260","DNA replication",8,3.67211683606273,1.59680638722555
"GO:0006886","intracellular protein transport",7,3.35251067206476,1.39720558882236
"GO:0023052","signaling",6,3.61431113248434,1.19760479041916
"GO:0006310","DNA recombination",5,3.75403168309086,0.998003992015968
"GO:0006575","modified amino acid metabolic process",5,3.37815004969356,0.998003992015968
"GO:0009101","glycoprotein biosynthetic process",5,3.6743075543573,0.998003992015968
"GO:0016071","mRNA metabolic process",5,3.5075268900437,0.998003992015968
"GO:0051604","protein maturation",5,4.02245238381108,0.998003992015968
"GO:0003013","circulatory system process",4,4.3007706879211,0.798403193612774
"GO:0006914","autophagy",4,4.0081126347882,0.798403193612774
"GO:0007018","microtubule-based movement",4,4.44938860684248,0.798403193612774
"GO:0007040","lysosome organization",4,4.09839517782774,0.798403193612774
"GO:0007163","establishment or maintenance of cell polarity",4,3.39685878010972,0.798403193612774
"GO:0032200","telomere organization",4,4.17636627824003,0.798403193612774
"GO:0044782","cilium organization",4,4.02424176911428,0.798403193612774
"GO:0003014","renal system process",3,3.61293448614934,0.598802395209581
"GO:0005975","carbohydrate metabolic process",3,3.49655313357366,0.598802395209581
"GO:0006351","DNA-templated transcription",3,4.00531265422134,0.598802395209581
"GO:0006520","amino acid metabolic process",3,3.51006624004272,0.598802395209581
"GO:0006790","sulfur compound metabolic process",3,3.52434001244981,0.598802395209581
"GO:0006913","nucleocytoplasmic transport",3,3.5036139812423,0.598802395209581
"GO:0006954","inflammatory response",3,3.66408218180943,0.598802395209581
"GO:0007059","chromosome segregation",3,4.04900253276835,0.598802395209581
"GO:0098542","defense response to other organism",3,3.69941811977573,0.598802395209581
"GO:0000278","mitotic cell cycle",2,3.7188550974067,0.399201596806387
"GO:0006486","protein glycosylation",2,3.62690973258833,0.399201596806387
"GO:0000910","cytokinesis",1,4.54309234924854,0.199600798403194
"GO:0006091","generation of precursor metabolites and energy",1,3.24207637563137,0.199600798403194
"GO:0006399","tRNA metabolic process",1,3.29508292754316,0.199600798403194
"GO:0007005","mitochondrion organization",1,3.53056234310212,0.199600798403194
"GO:0031047","regulatory ncRNA-mediated gene silencing",1,3.38942325321492,0.199600798403194
"GO:0042060","wound healing",1,3.75179449876074,0.199600798403194
"GO:0072659","protein localization to plasma membrane",1,5.02436305999403,0.199600798403194
"GO:0098754","detoxification",1,3.70711573596788,0.199600798403194
"GO:0140013","meiotic nuclear division",1,3.4816763928176,0.199600798403194
