"goslim_id","goslim_name","count","mean_loading"
"GO:0048856","anatomical structure development",61,1.81262456746098
"GO:0006355","regulation of DNA-templated transcription",46,1.78363188418889
"GO:0030154","cell differentiation",36,1.79589966258068
"GO:0006629","lipid metabolic process",25,1.72153856810883
"GO:0022414","reproductive process",20,1.76879004695259
"GO:0002376","immune system process",18,1.76269624411041
"GO:0006281","DNA repair",17,1.62838250390183
"GO:0048870","cell motility",14,1.72724849972841
"GO:0007155","cell adhesion",13,1.72569150795413
"GO:0055085","transmembrane transport",13,1.58874996156901
"GO:0006325","chromatin organization",12,1.61065267291687
"GO:0007010","cytoskeleton organization",12,1.77517897411849
"GO:0055086","nucleobase-containing small molecule metabolic process",12,1.64920423923199
"GO:0050877","nervous system process",11,1.96458213700353
"GO:0030163","protein catabolic process",10,1.90498944094806
"GO:0065003","protein-containing complex assembly",10,1.60899162046409
"GO:0006260","DNA replication",9,1.69593517747191
"GO:0012501","programmed cell death",9,1.71795784369177
"GO:0016192","vesicle-mediated transport",8,1.57567408104884
"GO:0030198","extracellular matrix organization",8,2.25743685817986
"GO:0034330","cell junction organization",7,1.55020780195705
"GO:0006575","modified amino acid metabolic process",6,1.56580946432047
"GO:0006310","DNA recombination",5,1.69697025395698
"GO:0023052","signaling",5,1.61637748395838
"GO:0032200","telomere organization",5,1.76762789389582
"GO:0051604","protein maturation",5,1.8062952427006
"GO:0061024","membrane organization",5,1.86770351841753
"GO:0003013","circulatory system process",4,1.93568045272396
"GO:0006520","amino acid metabolic process",4,1.54963831390789
"GO:0006790","sulfur compound metabolic process",4,1.54020994050925
"GO:0006886","intracellular protein transport",4,1.50571205334836
"GO:0007018","microtubule-based movement",4,1.98477942171944
"GO:0007040","lysosome organization",4,1.90479137055839
"GO:0016071","mRNA metabolic process",4,1.60152128067987
"GO:0044782","cilium organization",4,1.74108871956202
"GO:0098542","defense response to other organism",4,1.79316415564222
"GO:0003014","renal system process",3,1.51392961154352
"GO:0005975","carbohydrate metabolic process",3,1.57632901606376
"GO:0006351","DNA-templated transcription",3,1.7390215408787
"GO:0006914","autophagy",3,1.91080991497586
"GO:0007059","chromosome segregation",3,1.82773431441958
"GO:0009101","glycoprotein biosynthetic process",3,1.64866336398638
"GO:0000278","mitotic cell cycle",2,1.73242105774537
"GO:0006457","protein folding",2,1.53150152689294
"GO:0006486","protein glycosylation",2,1.54723221864128
"GO:0006913","nucleocytoplasmic transport",2,1.58953135105147
"GO:0006954","inflammatory response",2,1.88079552363987
"GO:0007005","mitochondrion organization",2,1.47156831445876
"GO:0000910","cytokinesis",1,2.23367691879274
"GO:0006091","generation of precursor metabolites and energy",1,1.5434333569066
"GO:0006399","tRNA metabolic process",1,1.40177619292765
"GO:0007163","establishment or maintenance of cell polarity",1,1.52961910683736
"GO:0031047","regulatory ncRNA-mediated gene silencing",1,1.38133684328827
"GO:0042060","wound healing",1,1.5495557981452
"GO:0072659","protein localization to plasma membrane",1,2.1632854625545
"GO:0098754","detoxification",1,1.70029198856292
"GO:0140013","meiotic nuclear division",1,1.47621302218511
