"goslim_id","goslim_name","count","mean_loading"
"GO:0048856","anatomical structure development",67,2.2885353767811
"GO:0006355","regulation of DNA-templated transcription",45,2.29114658313143
"GO:0030154","cell differentiation",38,2.27388185530187
"GO:0006629","lipid metabolic process",27,2.21627932880684
"GO:0022414","reproductive process",20,2.2646505345136
"GO:0048870","cell motility",19,2.2376861464569
"GO:0055085","transmembrane transport",17,2.06091682919697
"GO:0007010","cytoskeleton organization",16,2.18233248678082
"GO:0007155","cell adhesion",16,2.24194171869483
"GO:0050877","nervous system process",16,2.27461207055598
"GO:0002376","immune system process",14,2.25184525122314
"GO:0016192","vesicle-mediated transport",14,2.02842139924021
"GO:0065003","protein-containing complex assembly",13,2.08425113986064
"GO:0006281","DNA repair",12,2.0215960519694
"GO:0012501","programmed cell death",12,2.25717162420652
"GO:0006325","chromatin organization",11,2.14408238324146
"GO:0034330","cell junction organization",11,2.08638328295348
"GO:0061024","membrane organization",11,2.11994888839638
"GO:0030163","protein catabolic process",9,2.27791347144309
"GO:0030198","extracellular matrix organization",9,2.63147982189086
"GO:0055086","nucleobase-containing small molecule metabolic process",8,2.1267532787221
"GO:0006886","intracellular protein transport",7,1.95988645770909
"GO:0023052","signaling",7,2.05104487381793
"GO:0044782","cilium organization",6,2.16771659028351
"GO:0009101","glycoprotein biosynthetic process",5,2.30299725374704
"GO:0051604","protein maturation",5,2.1969537777048
"GO:0003013","circulatory system process",4,2.41489538370645
"GO:0006260","DNA replication",4,2.03579817775068
"GO:0006310","DNA recombination",4,1.99827755042241
"GO:0006575","modified amino acid metabolic process",4,2.01548002382408
"GO:0006913","nucleocytoplasmic transport",4,2.05647645293074
"GO:0006914","autophagy",4,2.41387531043777
"GO:0006954","inflammatory response",4,1.95380932213681
"GO:0007018","microtubule-based movement",4,2.36540273522673
"GO:0007040","lysosome organization",4,2.31010735551334
"GO:0007163","establishment or maintenance of cell polarity",4,2.21088702454773
"GO:0003014","renal system process",3,2.11670030750726
"GO:0005975","carbohydrate metabolic process",3,2.06896384331251
"GO:0006351","DNA-templated transcription",3,2.34217970299709
"GO:0006486","protein glycosylation",3,1.95950481112828
"GO:0006790","sulfur compound metabolic process",3,2.10419267028765
"GO:0007059","chromosome segregation",3,2.13255442433794
"GO:0016071","mRNA metabolic process",3,2.12973708617879
"GO:0032200","telomere organization",3,2.55365593774668
"GO:0000278","mitotic cell cycle",2,2.01804009837681
"GO:0006520","amino acid metabolic process",2,2.01638732488291
"GO:0000910","cytokinesis",1,2.22340700925086
"GO:0006091","generation of precursor metabolites and energy",1,1.86121526109508
"GO:0006399","tRNA metabolic process",1,2.06775405659076
"GO:0007005","mitochondrion organization",1,2.02029659698614
"GO:0031047","regulatory ncRNA-mediated gene silencing",1,1.99054595677377
"GO:0042060","wound healing",1,2.2082979523397
"GO:0072659","protein localization to plasma membrane",1,2.87982721724073
"GO:0098542","defense response to other organism",1,2.05365282910411
"GO:0098754","detoxification",1,2.00270876086707
"GO:0140013","meiotic nuclear division",1,2.10363285601089
