"goslim_id","goslim_name","count","mean_loading","percentage"
"GO:0048856","anatomical structure development",63,2.73510881504481,12.5498007968127
"GO:0006355","regulation of DNA-templated transcription",44,2.76049771472294,8.76494023904383
"GO:0030154","cell differentiation",36,2.72967620006703,7.17131474103586
"GO:0006629","lipid metabolic process",22,2.64922312107412,4.38247011952191
"GO:0022414","reproductive process",20,2.69415851348903,3.98406374501992
"GO:0048870","cell motility",19,2.57656130486598,3.78486055776892
"GO:0002376","immune system process",16,2.66626823908969,3.18725099601594
"GO:0007010","cytoskeleton organization",15,2.56119090321337,2.98804780876494
"GO:0007155","cell adhesion",14,2.59852739257452,2.78884462151394
"GO:0006281","DNA repair",13,2.46660937384663,2.58964143426295
"GO:0050877","nervous system process",12,2.8147909229991,2.39043824701195
"GO:0055085","transmembrane transport",12,2.4208573894716,2.39043824701195
"GO:0016192","vesicle-mediated transport",11,2.3299243610966,2.19123505976096
"GO:0030163","protein catabolic process",11,2.63193698620444,2.19123505976096
"GO:0034330","cell junction organization",11,2.28924556166062,2.19123505976096
"GO:0006325","chromatin organization",10,2.50991011694465,1.99203187250996
"GO:0012501","programmed cell death",10,2.66107350843443,1.99203187250996
"GO:0055086","nucleobase-containing small molecule metabolic process",10,2.48918125600615,1.99203187250996
"GO:0065003","protein-containing complex assembly",10,2.4573967619372,1.99203187250996
"GO:0006260","DNA replication",8,2.45537330244107,1.59362549800797
"GO:0030198","extracellular matrix organization",8,3.30983837039435,1.59362549800797
"GO:0061024","membrane organization",8,2.5628556311612,1.59362549800797
"GO:0006886","intracellular protein transport",6,2.25959715295386,1.19521912350598
"GO:0023052","signaling",6,2.38390265016951,1.19521912350598
"GO:0006310","DNA recombination",5,2.5054731411184,0.99601593625498
"GO:0007163","establishment or maintenance of cell polarity",5,2.2963438507236,0.99601593625498
"GO:0016071","mRNA metabolic process",5,2.34079979143659,0.99601593625498
"GO:0044782","cilium organization",5,2.59633086844526,0.99601593625498
"GO:0051604","protein maturation",5,2.63376646430372,0.99601593625498
"GO:0003013","circulatory system process",4,2.93528573447194,0.796812749003984
"GO:0006575","modified amino acid metabolic process",4,2.37681861491792,0.796812749003984
"GO:0006914","autophagy",4,2.77215416380852,0.796812749003984
"GO:0007018","microtubule-based movement",4,3.00912504512062,0.796812749003984
"GO:0007040","lysosome organization",4,2.75047131898014,0.796812749003984
"GO:0009101","glycoprotein biosynthetic process",4,2.5532172094054,0.796812749003984
"GO:0003014","renal system process",3,2.34289726524811,0.597609561752988
"GO:0005975","carbohydrate metabolic process",3,2.30877621633257,0.597609561752988
"GO:0006351","DNA-templated transcription",3,2.75049033817554,0.597609561752988
"GO:0006520","amino acid metabolic process",3,2.3488957597384,0.597609561752988
"GO:0006790","sulfur compound metabolic process",3,2.33545851246896,0.597609561752988
"GO:0006913","nucleocytoplasmic transport",3,2.35099788341684,0.597609561752988
"GO:0006954","inflammatory response",3,2.48079014184014,0.597609561752988
"GO:0007059","chromosome segregation",3,2.73162693178756,0.597609561752988
"GO:0032200","telomere organization",3,2.98229641827964,0.597609561752988
"GO:0098542","defense response to other organism",3,2.69545936684144,0.597609561752988
"GO:0000278","mitotic cell cycle",2,2.47670774126047,0.398406374501992
"GO:0006486","protein glycosylation",2,2.42432743322458,0.398406374501992
"GO:0042060","wound healing",2,2.3274752701148,0.398406374501992
"GO:0072659","protein localization to plasma membrane",2,2.68714629877812,0.398406374501992
"GO:0000910","cytokinesis",1,3.17386316296547,0.199203187250996
"GO:0006091","generation of precursor metabolites and energy",1,2.15310315392638,0.199203187250996
"GO:0007005","mitochondrion organization",1,2.39054649690409,0.199203187250996
"GO:0031047","regulatory ncRNA-mediated gene silencing",1,2.26601920760838,0.199203187250996
"GO:0098754","detoxification",1,2.33719113899579,0.199203187250996
"GO:0140013","meiotic nuclear division",1,2.34266781605992,0.199203187250996
