Module	Section	Sample Name	Source
Samtools	flagstat	2E2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2E2/2E2-hisat2_output.flagstat
Samtools	flagstat	1F4-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1F4/1F4-hisat2_output.flagstat
Samtools	flagstat	1A9-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A9/1A9-hisat2_output.flagstat
Samtools	flagstat	1H12-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1H12/1H12-hisat2_output.flagstat
Samtools	flagstat	1A2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A2/1A2-hisat2_output.flagstat
Samtools	flagstat	1D10-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D10/1D10-hisat2_output.flagstat
Samtools	flagstat	1E9-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1E9/1E9-hisat2_output.flagstat
Samtools	flagstat	1H8-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1H8/1H8-hisat2_output.flagstat
Samtools	flagstat	1A10-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A10/1A10-hisat2_output.flagstat
Samtools	flagstat	1B5-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1B5/1B5-hisat2_output.flagstat
Samtools	flagstat	1F11-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1F11/1F11-hisat2_output.flagstat
Samtools	flagstat	1C4-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1C4/1C4-hisat2_output.flagstat
Samtools	flagstat	2B2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2B2/2B2-hisat2_output.flagstat
Samtools	flagstat	1E1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1E1/1E1-hisat2_output.flagstat
Samtools	flagstat	2C1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2C1/2C1-hisat2_output.flagstat
Samtools	flagstat	1A12-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A12/1A12-hisat2_output.flagstat
Samtools	flagstat	1E5-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1E5/1E5-hisat2_output.flagstat
Samtools	flagstat	1H7-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1H7/1H7-hisat2_output.flagstat
Samtools	flagstat	1B2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1B2/1B2-hisat2_output.flagstat
Samtools	flagstat	1H6-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1H6/1H6-hisat2_output.flagstat
Samtools	flagstat	2B3-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2B3/2B3-hisat2_output.flagstat
Samtools	flagstat	1B9-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1B9/1B9-hisat2_output.flagstat
Samtools	flagstat	1B1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1B1/1B1-hisat2_output.flagstat
Samtools	flagstat	1A1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A1/1A1-hisat2_output.flagstat
Samtools	flagstat	1F8-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1F8/1F8-hisat2_output.flagstat
Samtools	flagstat	1D9-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D9/1D9-hisat2_output.flagstat
Samtools	flagstat	1B10-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1B10/1B10-hisat2_output.flagstat
Samtools	flagstat	1D6-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D6/1D6-hisat2_output.flagstat
Samtools	flagstat	1H11-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1H11/1H11-hisat2_output.flagstat
Samtools	flagstat	1D8-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D8/1D8-hisat2_output.flagstat
Samtools	flagstat	1D3-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D3/1D3-hisat2_output.flagstat
Samtools	flagstat	1D4-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1D4/1D4-hisat2_output.flagstat
Samtools	flagstat	2G1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2G1/2G1-hisat2_output.flagstat
Samtools	flagstat	2F1-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2F1/2F1-hisat2_output.flagstat
Samtools	flagstat	2D2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2D2/2D2-hisat2_output.flagstat
Samtools	flagstat	1E3-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1E3/1E3-hisat2_output.flagstat
Samtools	flagstat	1C10-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1C10/1C10-hisat2_output.flagstat
Samtools	flagstat	1A8-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1A8/1A8-hisat2_output.flagstat
Samtools	flagstat	2C2-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/2C2/2C2-hisat2_output.flagstat
Samtools	flagstat	1G5-hisat2_output	/home/shared/8TB_HDD_01/sam/gitrepos/urol-e5/timeseries_molecular/D-Apul/output/02.20-D-Apul-RNAseq-alignment-HiSat2/1G5/1G5-hisat2_output.flagstat
