term,total_count,n_components
negative regulation of transcription by RNA polymerase II,28,5
regulation of transcription by RNA polymerase II,26,5
positive regulation of transcription by RNA polymerase II,23,5
positive regulation of DNA-templated transcription,17,4
positive regulation of gene expression,17,5
Wnt signaling pathway,14,5
cell population proliferation,14,4
nervous system development,14,4
cell division,13,4
kidney development,12,4
negative regulation of apoptotic process,12,4
cellular response to leukemia inhibitory factor,10,4
basement membrane organization,9,4
angiogenesis,6,3
branching involved in ureteric bud morphogenesis,6,3
regulation of DNA-templated transcription,6,2
regulation of cell cycle,6,2
roof of mouth development,6,2
DNA repair,5,2
DNA replication initiation,4,2
anterior/posterior pattern specification,4,2
cGMP-mediated signaling,4,2
cell differentiation,4,1
central nervous system development,4,2
intracellular signal transduction,4,1
axon guidance,3,1
homophilic cell adhesion via plasma membrane adhesion molecules,3,1
mesoderm development,3,1
negative regulation of cell population proliferation,3,1
ossification,3,1
