go_term,group_id,n_components,components
DNA repair,OG_04129,4,"comp1, comp2, comp4, comp5"
DNA repair,OG_09650,2,"comp1, comp4"
Wnt signaling pathway,OG_04737,4,"comp1, comp2, comp4, comp5"
Wnt signaling pathway,OG_07762,4,"comp1, comp2, comp4, comp5"
Wnt signaling pathway,OG_01366,2,"comp4, comp5"
Wnt signaling pathway,OG_03779,2,"comp3, comp5"
basement membrane organization,OG_02599,4,"comp1, comp2, comp4, comp5"
basement membrane organization,OG_01941,3,"comp1, comp2, comp4"
branching involved in ureteric bud morphogenesis,OG_01489,4,"comp1, comp2, comp4, comp5"
branching involved in ureteric bud morphogenesis,OG_10087,3,"comp1, comp2, comp4"
cell division,OG_07762,4,"comp1, comp2, comp4, comp5"
cell division,OG_01941,3,"comp1, comp2, comp4"
cell division,OG_05776,3,"comp2, comp4, comp5"
cell division,OG_03926,2,"comp4, comp5"
cell population proliferation,OG_02599,4,"comp1, comp2, comp4, comp5"
cell population proliferation,OG_05208,4,"comp1, comp2, comp4, comp5"
cell population proliferation,OG_06522,4,"comp1, comp2, comp4, comp5"
cellular response to leukemia inhibitory factor,OG_00887,4,"comp1, comp2, comp4, comp5"
cellular response to leukemia inhibitory factor,OG_05395,4,"comp1, comp2, comp4, comp5"
cellular response to leukemia inhibitory factor,OG_01366,2,"comp4, comp5"
defense response to bacterium,OG_01210,4,"comp1, comp2, comp4, comp5"
defense response to bacterium,OG_04170,4,"comp1, comp2, comp4, comp5"
extracellular matrix organization,OG_04737,4,"comp1, comp2, comp4, comp5"
extracellular matrix organization,OG_10087,3,"comp1, comp2, comp4"
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,OG_01489,4,"comp1, comp2, comp4, comp5"
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,OG_01941,3,"comp1, comp2, comp4"
homophilic cell adhesion via plasma membrane adhesion molecules,OG_01489,4,"comp1, comp2, comp4, comp5"
homophilic cell adhesion via plasma membrane adhesion molecules,OG_01941,3,"comp1, comp2, comp4"
intracellular signal transduction,OG_04195,3,"comp2, comp4, comp5"
intracellular signal transduction,OG_09727,2,"comp3, comp5"
kidney development,OG_01489,4,"comp1, comp2, comp4, comp5"
kidney development,OG_02599,4,"comp1, comp2, comp4, comp5"
kidney development,OG_04195,3,"comp2, comp4, comp5"
negative regulation of apoptotic process,OG_02599,4,"comp1, comp2, comp4, comp5"
negative regulation of apoptotic process,OG_04195,3,"comp2, comp4, comp5"
negative regulation of apoptotic process,OG_05776,3,"comp2, comp4, comp5"
negative regulation of cell population proliferation,OG_02599,4,"comp1, comp2, comp4, comp5"
negative regulation of cell population proliferation,OG_09650,2,"comp1, comp4"
negative regulation of transcription by RNA polymerase II,OG_02599,4,"comp1, comp2, comp4, comp5"
negative regulation of transcription by RNA polymerase II,OG_05110,4,"comp1, comp2, comp4, comp5"
negative regulation of transcription by RNA polymerase II,OG_05395,4,"comp1, comp2, comp4, comp5"
negative regulation of transcription by RNA polymerase II,OG_07762,4,"comp1, comp2, comp4, comp5"
negative regulation of transcription by RNA polymerase II,OG_05348,3,"comp1, comp2, comp4"
negative regulation of transcription by RNA polymerase II,OG_01366,2,"comp4, comp5"
negative regulation of transcription by RNA polymerase II,OG_09650,2,"comp1, comp4"
nervous system development,OG_02599,4,"comp1, comp2, comp4, comp5"
nervous system development,OG_05400,4,"comp1, comp2, comp4, comp5"
nervous system development,OG_09806,3,"comp1, comp3, comp5"
nervous system development,OG_03926,2,"comp4, comp5"
neuron projection morphogenesis,OG_04335,4,"comp1, comp2, comp4, comp5"
neuron projection morphogenesis,OG_07519,4,"comp1, comp2, comp4, comp5"
positive regulation of DNA-templated transcription,OG_02599,4,"comp1, comp2, comp4, comp5"
positive regulation of DNA-templated transcription,OG_04999,4,"comp1, comp2, comp4, comp5"
positive regulation of DNA-templated transcription,OG_04195,3,"comp2, comp4, comp5"
positive regulation of DNA-templated transcription,OG_07441,2,"comp2, comp5"
positive regulation of gene expression,OG_02599,4,"comp1, comp2, comp4, comp5"
positive regulation of gene expression,OG_04195,3,"comp2, comp4, comp5"
positive regulation of gene expression,OG_05348,3,"comp1, comp2, comp4"
positive regulation of gene expression,OG_09806,3,"comp1, comp3, comp5"
positive regulation of mesenchymal stem cell proliferation,OG_07762,4,"comp1, comp2, comp4, comp5"
positive regulation of mesenchymal stem cell proliferation,OG_04195,3,"comp2, comp4, comp5"
positive regulation of transcription by RNA polymerase II,OG_02599,4,"comp1, comp2, comp4, comp5"
positive regulation of transcription by RNA polymerase II,OG_04999,4,"comp1, comp2, comp4, comp5"
positive regulation of transcription by RNA polymerase II,OG_05395,4,"comp1, comp2, comp4, comp5"
positive regulation of transcription by RNA polymerase II,OG_04041,2,"comp3, comp5"
proteolysis,OG_05400,4,"comp1, comp2, comp4, comp5"
proteolysis,OG_10087,3,"comp1, comp2, comp4"
regulation of DNA-templated transcription,OG_02599,4,"comp1, comp2, comp4, comp5"
regulation of DNA-templated transcription,OG_05110,4,"comp1, comp2, comp4, comp5"
regulation of DNA-templated transcription,OG_08089,2,"comp2, comp4"
