readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	7922	26449
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	3229	9231
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	3735	25867
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	4650	14372
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	5745	14907
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	210571	748094
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	3835	8622
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	1262	7562
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	1473	51734
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	2022	7679
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	2785	7738
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	68992	310709
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	4635	13578
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	1535	4792
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	1634	10416
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	2344	6607
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	3803	14860
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	100898	339517
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	1509	2544
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	413	553
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	333	501
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	385	914
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	513	1450
/home/shared/8TB_HDD_02/shedurkin/timeseries_molecular/E-Peve/output/08-Peve-sRNA-discovery-ShortStack/ShortStack_out/1A11-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	10924	548038
