"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0005290","L-histidine transmembrane transporter activity",9,1,0,0.0032,"Molecular.Function","Cluster_10452"
"2","GO:0001658","branching involved in ureteric bud morphogenesis",4,1,0.01,0.0057,"Biological.Process","Cluster_11565"
"3","GO:0001945","lymph vessel development",5,1,0.01,0.0071,"Biological.Process","Cluster_11565"
"4","GO:0004252","serine-type endopeptidase activity",53,2,0.15,0.0093,"Molecular.Function","Cluster_11565"
"5","GO:0004771","sterol esterase activity",5,1,0.01,0.0143,"Molecular.Function","Cluster_11565"
"6","GO:0004966","galanin receptor activity",12,1,0.03,0.0341,"Molecular.Function","Cluster_11565"
"7","GO:0004222","metalloendopeptidase activity",15,1,0.04,0.0425,"Molecular.Function","Cluster_11565"
"8","GO:0005201","extracellular matrix structural constituent",17,1,0.05,0.048,"Molecular.Function","Cluster_11565"
"9","GO:0002218","activation of innate immune response",15,1,0.03,0.032,"Biological.Process","Cluster_12081"
"10","GO:0009034","tryptophanase activity",2,1,0,0.0029,"Molecular.Function","Cluster_12081"
"11","GO:0003964","RNA-directed DNA polymerase activity",122,2,0.18,0.0108,"Molecular.Function","Cluster_12081"
"12","GO:0002040","sprouting angiogenesis",12,1,0.03,0.034,"Biological.Process","Cluster_12083"
"13","GO:0002218","activation of innate immune response",15,1,0.04,0.042,"Biological.Process","Cluster_12083"
"14","GO:0003964","RNA-directed DNA polymerase activity",122,3,0.26,0.0015,"Molecular.Function","Cluster_12083"
"15","GO:0009034","tryptophanase activity",2,1,0,0.0043,"Molecular.Function","Cluster_12083"
"16","GO:0002040","sprouting angiogenesis",12,1,0.03,0.025,"Biological.Process","Cluster_12087"
"17","GO:0002218","activation of innate immune response",15,1,0.03,0.032,"Biological.Process","Cluster_12087"
"18","GO:0003964","RNA-directed DNA polymerase activity",122,3,0.22,0.00078,"Molecular.Function","Cluster_12087"
"19","GO:0009034","tryptophanase activity",2,1,0,0.0036,"Molecular.Function","Cluster_12087"
"20","GO:0001701","in utero embryonic development",15,1,0.01,0.011,"Biological.Process","Cluster_13327"
"21","GO:0001822","kidney development",65,1,0.05,0.046,"Biological.Process","Cluster_14146"
"22","GO:0005096","GTPase activator activity",12,1,0.01,0.013,"Molecular.Function","Cluster_14146"
"23","GO:0004180","carboxypeptidase activity",28,1,0.03,0.03,"Molecular.Function","Cluster_14146"
"24","GO:0001653","peptide receptor activity",40,1,0.04,0.043,"Molecular.Function","Cluster_14146"
"25","GO:0001825","blastocyst formation",1,1,0,0.0014,"Biological.Process","Cluster_14165"
"26","GO:0004035","alkaline phosphatase activity",1,1,0,0.0043,"Molecular.Function","Cluster_14165"
"27","GO:0004325","ferrochelatase activity",1,1,0,0.0043,"Molecular.Function","Cluster_14165"
"28","GO:0004777","succinate-semialdehyde dehydrogenase (NAD+) activit...",1,1,0,0.0043,"Molecular.Function","Cluster_14165"
"29","GO:0008137","NADH dehydrogenase (ubiquinone) activity",1,1,0,0.0043,"Molecular.Function","Cluster_14165"
"30","GO:0004176","ATP-dependent peptidase activity",2,1,0.01,0.0086,"Molecular.Function","Cluster_14165"
"31","GO:0003943","N-acetylgalactosamine-4-sulfatase activity",8,1,0.03,0.0341,"Molecular.Function","Cluster_14165"
"32","GO:0003697","single-stranded DNA binding",8,1,0.03,0.0341,"Molecular.Function","Cluster_14165"
"33","GO:0032259","methylation",5,1,0.02,0.018,"Biological.Process","Cluster_14532"
"34","GO:0000038","very long-chain fatty acid metabolic process",9,1,0.03,0.032,"Biological.Process","Cluster_14532"
"35","GO:0000278","mitotic cell cycle",160,2,0.57,0.047,"Biological.Process","Cluster_14532"
"36","GO:0004568","chitinase activity",1,1,0.01,0.005,"Molecular.Function","Cluster_14532"
"37","GO:0005178","integrin binding",4,1,0.02,0.02,"Molecular.Function","Cluster_14532"
"38","GO:0003341","cilium movement",20,1,0.01,0.014,"Biological.Process","Cluster_14605"
"39","GO:0000165","MAPK cascade",35,1,0.02,0.025,"Biological.Process","Cluster_14610"
"40","GO:0001945","lymph vessel development",5,2,0.02,0.00015,"Biological.Process","Cluster_14633"
"41","GO:0001658","branching involved in ureteric bud morphogenesis",4,1,0.02,0.01692,"Biological.Process","Cluster_14633"
"42","GO:0001889","liver development",8,1,0.03,0.0336,"Biological.Process","Cluster_14633"
"43","GO:0004771","sterol esterase activity",5,1,0.01,0.011,"Molecular.Function","Cluster_14633"
"44","GO:0000165","MAPK cascade",35,2,0.15,0.0084,"Biological.Process","Cluster_15097"
"45","GO:0002674","negative regulation of acute inflammatory response",4,1,0.02,0.0169,"Biological.Process","Cluster_15097"
"46","GO:0001409","guanine nucleotide transmembrane transporter activi...",30,2,0.16,0.011,"Molecular.Function","Cluster_15097"
"47","GO:0004623","phospholipase A2 activity",4,1,0.02,0.021,"Molecular.Function","Cluster_15097"
