Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ACR-139-TP1_R1_001	ACR-139-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41468675.0	5.1 Gbp	0.0	15-125	20.0	74.7364287158724	123.41999166840995	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-139-TP1_R2_001	ACR-139-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41468675.0	5.1 Gbp	0.0	15-125	20.0	73.7591873771606	123.47498006627895	125	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
ACR-139-TP2_R1_001	ACR-139-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42082754.0	5.1 Gbp	0.0	15-125	20.0	75.25858546071183	122.10401588736326	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-139-TP2_R2_001	ACR-139-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42082754.0	5.1 Gbp	0.0	15-125	20.0	74.821704209681	122.58964598657208	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-139-TP3_R1_001	ACR-139-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45461427.0	5.3 Gbp	0.0	15-125	21.0	73.67405956688326	117.10520965388966	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	warn	pass
ACR-139-TP3_R2_001	ACR-139-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45461427.0	5.4 Gbp	0.0	15-125	21.0	72.96921198806723	119.1350325408835	125	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
ACR-139-TP4_R1_001	ACR-139-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40093521.0	4.9 Gbp	0.0	15-125	20.0	76.05290152943559	122.65624166557983	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-139-TP4_R2_001	ACR-139-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40093521.0	4.9 Gbp	0.0	15-125	20.0	75.33909589567219	123.04996375848357	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP1_R1_001	ACR-145-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47045069.0	5.6 Gbp	0.0	15-125	21.0	73.22222842488718	121.1524910081437	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP1_R2_001	ACR-145-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47045069.0	5.7 Gbp	0.0	15-125	21.0	72.40969450878517	121.77373956025019	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	warn	pass
ACR-145-TP2_R1_001	ACR-145-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44096888.0	5.3 Gbp	0.0	15-125	20.0	75.68614429534608	121.18383732657053	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP2_R2_001	ACR-145-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44096888.0	5.3 Gbp	0.0	15-125	20.0	74.9143020624425	122.03862893907615	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP3_R1_001	ACR-145-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42517358.0	5 Gbp	0.0	15-125	21.0	76.87446145324375	119.1234298001301	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP3_R2_001	ACR-145-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42517358.0	5.1 Gbp	0.0	15-125	21.0	76.45517822800359	120.46540852797109	125	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
ACR-145-TP4_R1_001	ACR-145-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45838591.0	5.6 Gbp	0.0	15-125	20.0	75.00098153901138	122.22975767296163	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-145-TP4_R2_001	ACR-145-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45838591.0	5.6 Gbp	0.0	15-125	20.0	74.2380189504863	122.70405440690793	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-150-TP1_R1_001	ACR-150-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56882972.0	6.5 Gbp	0.0	15-125	21.0	73.59507520668755	114.73523907998337	125	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
ACR-150-TP1_R2_001	ACR-150-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56882972.0	6.6 Gbp	0.0	15-125	21.0	72.78131153372003	117.44200563219516	125	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
ACR-150-TP2_R1_001	ACR-150-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38893195.0	4.7 Gbp	0.0	15-125	20.0	75.5316139943615	122.81914386308453	125	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
